,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
135,雞腳,78,CA0016,12,2.28,C
136,雞腿,1056,CA0017,12,1.425,C
137,雞腿肉,808,CA0018,12,2.077777778,C
138,雞腿排,160,CA0019,12,2.077777778,C
139,棒棒腿,171,CA0020,12,1.42,C
140,雞翅,386,CA0021,12,3.071058773,C
141,雞屁股,5,CA0022,12,4.5,C
142,雞皮,8,CA0023,12,4.127444444,C
143,雞肝,17,CB0001,12,1.288594771,C
144,雞心,33,CB0002,12,0.7345739645,C
145,雞胗,46,CB0003,12,0.76425,C
146,雞睪丸,5,CB0004,12,2,C
147,雞油,36,CB0005,12,8.92962963,C
148,雞骨,117,CB0006,12,1,C
149,雞腸,8,CB0007,12,2.424242424,C
150,雞血,2,CB0008,12,0.49,C
151,雞軟骨,34,CB0009,12,1,C
152,羊肉,106,DA0001,12,1.702793327,D
153,羊肉片,91,DA0002,12,1.759,D
154,羊肩肉,1,DA0003,12,2,D
155,羊腰脊肉,NA,DA0004,12,2,D
156,羊里肌肉,5,DA0005,12,2.352941177,D
157,羊胸肉,NA,DA0006,12,2.15,D
158,小羔羊排,3,DA0007,12,2,D
159,羊排,59,DA0008,12,2,D
160,羊腿,4,DA0009,12,1.913333333,D
161,羊腩,12,DA0010,12,2.03,D
162,羊腱,4,DA0011,12,2,D
163,羊肚,2,DA0012,12,0.87,D
164,羊睪丸,NA,DB0001,12,2,D
165,羊鞭,NA,DB0002,12,2,D
166,羊大骨,4,DB0003,12,2,D
167,羊架,2,DB0004,12,2,D
168,羊奶,3,DB0005,12,0.67,D
169,鵝肉,16,EA0001,12,2.490683304,E
170,鵝胸肉,8,EA0002,12,1.87,E
171,鵝腿,2,EA0003,12,2.92,E
172,鵝腿肉,3,EA0004,12,2.92,E
173,鵝掌,5,EA0005,12,2.5,E
174,鵝肝,7,EA0006,12,1.297058243,E
175,鵝腸,3,EA0007,12,1.29,E
176,鵝油,21,EA0008,12,8.59,E
177,鵝血,NA,EA0009,12,0.49,E
178,鵝胗,1,EA0010,12,1.29,E
179,鵝頭,1,EA0011,12,2.49,E
180,鵝肉丸,1,EA0012,12,2.49,E
181,鵝心,1,EA0013,12,1.29,E
182,鴨,79,EB0001,12,2.625882353,E
183,菜鴨,1,EB0002,12,2.62,E
184,水鴨,NA,EB0003,12,2.62,E
185,鴨肉條,12,EB0004,12,2.31,E
186,鴨肉,47,EB0005,12,2.310769231,E
187,鴨柳,3,EB0006,12,2.3,E
188,鴨胸,79,EB0007,12,0.9,E
189,鴨頭,28,EB0008,12,1.63,E
190,鴨脖子,3,EB0009,12,1.63,E
191,鴨舌頭,8,EB0010,12,2.841598361,E
192,鴨翅膀,12,EB0011,12,1.639776119,E
