,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
571,紫色花椰菜,NA,GC0004,12,0.2344594015,G
572,花菜心,1,GC0005,12,0.2344594015,G
573,綠金針,5,GC0006,12,1.370076531,G
574,金針花,131,GC0007,9,1.370076531,G
575,美人心,18,GC0008,12,0.24,G
576,油菜花,5,GC0009,9,0.31,G
577,石蓮花,9,GC0010,12,0.24,G
578,檳榔花,2,GC0011,12,0.24,G
579,韭菜花,110,GC0012,7,0.24,G
580,芥蘭菜,65,GC0013,12,0.215,G
581,節瓜花,1,GC0014,12,0.24,G
582,寶塔花菜,4,GC0015,12,0.24,G
583,菜薊,5,GC0016,12,0.463,G
584,貝芽菜,8,GD0001,12,0.24,G
585,乾枇杷葉,1,GD0002,12,0.25,G
586,打拋葉,8,GD0003,12,0.25,G
587,千寶菜,NA,GD0004,12,0.25,G
588,青江菜,493,GD0005,12,0.164,G
589,空心菜,185,GD0007,10,0.216103689,G
590,大陸妹,39,GD0008,12,0.2133333333,G
591,茄茉菜,NA,GD0009,12,0.195,G
592,芝麻菜,10,GD0010,12,0.25,G
593,客家褔菜,1,GD0011,12,0.25,G
594,水楊菜,1,GD0012,12,0.25,G
595,甘藷葉,71,GD0013,12,0.25,G
596,臭菜,1,GD0014,12,0.13,G
597,莧菜,45,GD0015,6,0.2657809608,G
598,芋莖,4,GD0016,12,0.225,G
599,豆瓣菜,7,GD0017,12,0.2093524284,G
600,油菜,21,GD0018,9,0.6670306513,G
601,日本油菜,7,GD0019,12,0.18,G
602,芥菜,16,GD0020,12,0.09,G
603,芥菜梗,2,GD0021,12,0.09,G
604,大芥菜,79,GD0022,3,0.1901984635,G
605,大心芥菜,NA,GD0023,5,0.25,G
606,娃娃菜,39,GD0024,12,0.14,G
607,芥藍芽,NA,GD0025,12,0.25,G
608,茼蒿,86,GD0026,7,0.2376071314,G
609,落葵,10,GD0027,12,0.2161654135,G
610,紅梗珍珠菜,NA,GD0028,12,0.34,G
611,紅鳳菜,15,GD0029,12,0.25,G
612,美國空心菜,NA,GD0030,12,0.22,G
613,食茱萸,NA,GD0031,12,1.27,G
614,香樁,89,GD0032,12,0.5056842105,G
615,甜菜根,NA,GD0033,12,0.31,G
616,媚仔菜,NA,GD0034,12,0.25,G
617,黃麻菜,1,GD0035,12,0.25,G
618,乾蓮葉,1,GD0036,12,0.25,G
619,甜菊葉,1,GD0037,12,0.25,G
620,雞屎藤,1,GD0038,12,0.41,G
621,菁菜,1,GD0039,12,0.25,G
622,茄冬葉,1,GD0040,12,0.25,G
623,紫蘇,141,GD0041,12,0.25,G
624,豇菜,1,GD0042,12,0.25,G
625,沙律菜,1,GD0043,12,0.25,G
626,萵苣,161,GD0044,12,0.2033333333,G
627,A菜,43,GD0045,12,0.325,G
628,苦苣,9,GD0046,12,0.1716666667,G
629,鹿角萵苣,NA,GD0047,12,0.2033333333,G
630,蘿蔓萵苣,217,GD0048,12,0.2,G
631,紅葉萵苣,3,GD0049,12,0.12,G
632,廣東萵苣,1,GD0050,12,0.14,G
633,奶油萵苣,1,GD0051,12,0.2033333333,G
634,紫萵苣,17,GD0052,12,0.2033333333,G
635,萵筍,1,GD0053,12,0.1639516129,G
636,鬚苣,1,GD0054,12,0.2033333333,G
637,美生菜,901,GD0055,12,0.1680270793,G
638,冰山捲心,1,GD0056,12,0.2033333333,G
639,拔葉萵苣,NA,GD0057,12,0.2033333333,G
640,波士頓萵苣,2,GD0058,12,0.2033333333,G
641,紅捲鬚,3,GD0059,12,0.2033333333,G
642,菜心,23,GD0060,12,0.235,G
643,綠捲鬚,14,GD0061,12,0.1639516129,G
644,薺菜,1,GD0062,12,0.2833333333,G
645,大白菜,508,GD0063,12,0.1768967743,G
646,小白菜,606,GD0064,12,0.13,G
647,白菜芽,1,GD0065,12,0.12,G
648,芥藍菜,28,GD0066,12,0.2433215212,G
649,高麗菜,1837,GD0067,9,0.2220019614,G
650,甘藍芽,3,GD0068,12,0.23,G
651,紫高麗菜,60,GD0069,12,0.28,G
652,包心芥菜,2,GD0070,12,0.22,G
653,大頭菜,46,GD0071,6,0.2785610766,G
654,紫色甘藍,1,GD0072,4,0.28,G
655,白菜心,6,GD0073,12,0.1768967743,G
656,羽衣甘藍,5,GD0074,12,0.3128571429,G
657,山芹菜,61,GD0075,12,0.2022222222,G
658,芹菜,1104,GD0076,7,0.2175240027,G
659,西洋芹菜,695,GD0077,2,0.1533423668,G
660,土芹菜,9,GD0078,12,0.11,G
661,山蘇菜,18,GD0079,12,0.16,G
662,水菜,21,GD0080,12,0.16,G
663,鴨鵝芹,1,GD0081,12,0.2175240027,G
664,假人蔘,1,GD0082,12,0.32,G
665,龍鬚菜,40,GD0083,7,0.3493215339,G
666,韮菜,NA,GD0084,12,0.38,G
667,野韭菜,1,GD0085,12,0.38,G
668,貢菜,1,GD0086,12,0.3,G
669,過溝菜,23,GD0087,12,0.3,G
670,白鳳菜,NA,GD0088,12,0.27,G
671,荷葉白菜,NA,GD0089,12,0.1768967743,G
672,蚵仔白菜,4,GD0090,12,0.1768967743,G
673,野莧菜,NA,GD0091,12,0.41,G
674,菠菜,500,GD0092,9,0.2688581084,G
675,葵扇白菜,NA,GD0093,12,0.1768967743,G
676,黑豆芽,2,GD0094,12,0.2,G
677,葵花芽,NA,GD0095,12,0.2,G
678,蕎麥芽,1,GD0096,12,0.2,G
679,水麥芽,68,GD0097,12,0.2,G
680,蘿蔔芽,NA,GD0098,12,0.2,G
681,綠豆芽,513,GD0099,12,0.1099422222,G
682,紫高活芽,1,GD0100,12,0.2,G
683,豌豆芽,174,GD0101,12,0.2,G
684,黃豆芽,109,GD0102,12,0.2,G
685,苜蓿芽,109,GD0103,12,0.2275,G
686,大根芽,1,GD0105,12,0.2,G
687,苜宿芽,18,GD0106,12,0.18,G
688,筍,508,GD0107,12,0.22,G
689,筍乾,195,GD0108,12,0.22,G
690,桂竹筍,40,GD0109,2,0.25,G
691,扁尖筍,3,GD0110,12,0.22,G
692,箭竹筍,27,GD0111,3,0.22,G
693,綠竹筍,174,GD0112,7,0.25,G
694,烏殼綠竹筍,NA,GD0113,12,0.22,G
695,筍嫩尖,1,GD0114,12,0.2048843953,G
696,沙拉筍塊,50,GD0115,12,0.22,G
697,麻竹筍,37,GD0116,5,0.22,G
698,孟宗竹筍,5,GD0117,12,0.2233333333,G
699,玉米筍,450,GD0118,12,0.198,G
700,香菜根,10,GD0119,12,0.22,G
701,海蘆筍,4,GD0120,12,0.22,G
702,蘆筍,659,GD0121,5,0.2077442529,G
703,半天筍,9,GD0122,12,0.31,G
704,筊白筍,192,GD0123,7,0.2544357669,G
705,雪裡紅,69,GD0124,12,0.3163232256,G
706,蓴菜,1,GD0125,12,0.2,G
707,水蓮菜,19,GD0126,12,0.45,G
708,豇豆,50,GE0001,12,0.1276066069,G
709,菜豆,505,GE0002,7,0.195263433,G
710,鵲豆,8,GE0003,12,0.1433701894,G
711,萊豆,7,GE0005,12,0.3,G
712,毛豆,209,GE0006,3,0.1338604707,G
713,甜豌豆,13,GE0007,5,0.355,G
714,豌豆仁,570,GE0008,5,0.2256483517,G
715,荷蘭豆,32,GE0009,12,0.3478030303,G
716,白腰豆,1,GE0010,12,0.1632,G
717,紅腰豆,7,GE0011,12,0.3,G
718,翼豆,1,GE0012,12,0.3,G
719,蛇豆,1,GE0013,12,0.15,G
720,甜豆,165,GE0014,12,0.17,G
721,番薯,1085,GF0001,7,0.9900146199,G
722,馬鈴薯,2210,GF0002,4,0.9469351291,G
723,芋頭,819,GF0003,9,1.046334776,G
724,山藥,403,GF0004,8,1.213865649,G
725,豆薯,23,GF0005,12,0.5216666667,G
726,胡蘿蔔,5908,GF0006,5,0.3097972786,G
727,白蘿蔔,1244,GF0007,4,0.3533677126,G
728,青蘿蔔,1,GF0008,12,0.2954385965,G
729,甜菜,74,GF0009,12,0.4912380952,G
730,洋蔥,7485,GF0010,5,0.4949443009,G
731,蓮藕,165,GF0011,6,0.6516776256,G
732,藕粉,64,GF0012,12,0.6516776256,G
733,冬瓜,202,GF0014,6,0.1582754847,G
734,菱角,32,GF0015,7,1.103780133,G
735,樹薯,85,GF0016,12,1.733333333,G
736,歐防風,2,GF0017,12,0.4912380952,G
737,荸薺,295,GF0018,12,0.6798588186,G
738,川牛膝,1,GF0019,12,0.6798588186,G
739,蘆薈,27,GF0020,12,0.4,G
740,紫洋蔥,101,GF0021,12,0.39,G
741,調味蔬菜,3,GG0001,12,0.25,G
742,冷凍蔬菜,61,GG0002,12,0.87,G
743,三色蔬菜,138,GG0003,12,0.87,G
744,深綠色蔬菜,12,GG0004,12,0.87,G
745,彩色蔬菜,2,GG0005,12,0.87,G
746,蔬菜乾,1,GG0007,12,2.5,G
747,蔬菜條,1,GG0008,12,2.5,G
748,芽苗菜,1,GG0009,12,0.18,G
749,鼠麴草,2,GG0010,12,0.23,G
750,艾草,5,GG0011,12,0.01,G
751,厥子,NA,GG0012,12,0.23,G
752,銀杏,98,GG0013,12,2.945882353,G
753,榨菜,87,GG0014,12,0.310106383,G
754,酸菜,237,GG0015,12,0.05,G
755,醃菜,1,GG0016,12,0.05,G
756,福菜,43,GG0017,12,0.05,G
757,梅菜,65,GG0018,12,0.62,G
758,鹽膚木,2,GG0019,12,0.105,G
759,龍葵,7,GG0020,12,0.26,G
760,百合鱗片,NA,GG0021,12,0.47,G
761,乾百合鱗片,NA,GG0022,12,0.47,G
762,青龍菜,1,GG0023,12,0.2114285714,G
763,豬母菜,1,GG0024,12,0.2114285714,G
764,麻薏,1,GG0025,12,1.21,G
765,麻薏粉,1,GG0026,12,1.21,G
766,楊莓,6,GG0027,12,0.3003658537,G
767,金銀菜,1,GG0028,12,0.1768967743,G
768,班蘭葉,6,GG0029,12,0.16,G
769,藤心,1,GG0030,12,1.13,G
770,西洋菊苣,1,GG0031,12,0.17,G
771,雞骨草,1,GG0032,12,0.01,G
772,仙鶴草,1,GG0033,12,0.01,G
773,芽菜,12,GG0034,12,0.2,G
774,慈菇,2,GG0035,12,0.9223113965,G
775,龍舌蘭,2,GG0036,12,0.22,G
776,欖仁葉,2,GG0037,12,0.22,G
777,羊奶頭,2,GG0038,12,0.22,G
778,醬筍,4,GH0001,12,0.4858258258,G
779,醬瓜,176,GH0002,12,0.4858258258,G
780,鹹菜,27,GH0003,12,0.1600900901,G
781,冬菜,44,GH0004,12,0.48,G
782,武林菜,2,GH0005,12,0.24,G
783,酸黃瓜,93,GH0006,12,0.555,G
784,水果罐頭,9,GH0007,12,0.43,G
785,莓果,40,GH0008,12,3.08,G
786,糖漬蔓越苺果粒,1,GH0009,12,3.08,G
787,莓果乾,30,GH0010,12,3.08,G
788,果乾,90,GH0011,12,2.731904762,G
789,芒果乾,14,GH0012,12,2.731904762,G
790,情人果,9,GH0013,12,2,G
791,柿乾,2,GH0014,12,2,G
792,葡萄乾,546,GH0015,12,3.330079365,G
793,罐裝蜜桃,2,GH0016,12,0.43,G
794,糖漬橙片,6,GH0017,12,3.08,G
795,甜桃果泥,3,GH0018,12,0.94,G
796,脆李,1,GH0019,12,2.4,G
797,脆梅,34,GH0020,12,2.4,G
798,西梅乾,2,GH0022,12,2.4,G
799,日本梅,1,GH0023,12,2.4,G
800,紫蘇梅,87,GH0024,12,2.4,G
801,紹興梅,4,GH0026,12,2.4,G
802,荔枝果泥,1,GH0027,12,0.94,G
803,紅龍果泥,2,GH0028,12,0.94,G
804,龍眼乾,165,GH0029,12,0.7354826255,G
805,黑棗,79,GH0030,12,3.274604824,G
806,棗泥,17,GH0031,12,2.67,G
807,草苺乾,1,GH0032,12,3.24,G
808,草苺泥,1,GH0033,12,0.32,G
809,乾藍梅粒,1,GH0034,12,2.4,G
810,椰棗,4,GH0036,12,2.82,G
811,無籽加州梅,1,GH0037,12,2.4,G
812,茶梅,9,GH0038,12,3.15,G
813,豆干,473,HA0001,12,1.669658486,H
814,豆枝,6,HA0002,12,3.75,H
815,蘭花干,10,HA0003,12,1.91,H
816,豆包,99,HA0004,12,2.2,H
817,豆胗,1,HA0005,12,1.07,H
818,豆漿,333,HA0006,12,0.3657910053,H
819,腐皮,319,HA0007,12,0.83,H
820,豆皮包,1,HA0008,12,0.83,H
821,納豆,10,HA0009,12,2.040392157,H
822,臭豆腐,85,HA0010,12,1.00641544,H
823,山水豆腐,1,HA0011,12,0.9,H
824,杏仁豆腐,NA,HA0012,12,0.9365761802,H
825,豆腐,1065,HA0013,12,0.9365761802,H
826,胡麻豆腐,1,HA0014,12,1.00641544,H
827,豆腐乳,281,HA0015,12,1.357320261,H
828,豆豉,456,HA0016,12,2.47,H
829,味噌,700,HA0017,12,2.22,H
830,干絲,15,HA0018,12,2.396666667,H
831,板豆腐,431,HA0019,12,0.985,H
832,蛋豆腐,137,HA0020,12,0.6891176471,H
833,百頁豆腐,50,HA0021,12,2.57,H
834,百頁結,3,HA0022,12,3,H
835,油豆腐,144,HA0023,12,2.347063492,H
836,千張,7,HA0024,12,2.606666667,H
837,素雞,21,HA0025,12,1.792685185,H
838,豆籤,1,HA0026,12,2.92,H
839,凍豆腐,41,HA0027,12,1.610609756,H
840,芝麻豆腐,6,HA0028,12,1.91,H
841,油揚,2,HA0029,12,3.25,H
842,炸豆腐,2,HA0030,12,2.4,H
843,素火腿,72,HA0031,12,2.2125,H
844,豆花,40,HA0032,12,0.59,H
845,豆沙,104,HA0033,12,2.443333333,H
846,豆渣,65,HA0034,12,2.841666667,H
847,素肉丸,1,HA0035,12,1.97,H
848,素腰花,3,HA0036,12,1.97,H
849,素輪,1,HA0037,12,1.97,H
850,素肚,9,HA0038,12,1.97,H
851,素豆腸,4,HA0039,12,1.97,H
852,素香鬆,20,HA0040,12,1.97,H
853,素肉,49,HA0041,12,4.16,H
854,豆酥,2,HA0042,12,4.63,H
855,焗豆,1,HA0043,12,1.05,H
856,丹貝,4,HA0044,12,1.945,H
857,羊羹,2,HA0045,12,2.796,H
858,豆輪,25,HA0046,12,0.83,H
859,皮絲,11,HA0047,12,1.539941616,H
860,豆棗,7,HA0048,12,4.19,H
861,蛋液,931,HB0001,12,0.75,H
862,蛋末,1,HB0002,12,0.48,H
863,蛋絲,17,HB0003,12,0.48,H
864,蛋白,1801,HB0004,12,0.48,H
865,蛋黃,2317,HB0005,12,3.11875,H
866,雞蛋,11583,HB0006,12,1.539941616,H
867,鴨蛋,29,HB0007,12,1.871494253,H
868,鵪鶉蛋,77,HB0008,12,1.614736753,H
869,鐵蛋,2,HB0009,12,2.86,H
870,鴿蛋,6,HB0010,12,0.96,H
871,鵝蛋,NA,HB0011,12,1.934574713,H
872,雞蛋粉,3,HB0012,12,5.45,H
873,糖心蛋,6,HB0013,12,1.386034961,H
874,皮蛋,270,HB0014,12,1.88287891,H
875,鹹鴨蛋,425,HB0015,12,1.681194503,H
876,水煮蛋,305,HB0016,12,1.386034961,H
877,紅蛋,1,HB0017,12,1.386034961,H
878,花生,551,HC0001,2,5.298014364,H
879,花生粉,210,HC0002,12,4.607619048,H
880,蒜花生碎,3,HC0003,12,5.298014364,H
881,決明子,9,HC0004,12,0,H
882,核桃,603,HC0005,12,6.72,H
883,山核桃,3,HC0006,12,6,H
884,栗子,268,HC0007,5,6.974100912,H
885,腰果,135,HC0008,12,5.316076894,H
886,蓮子,170,HC0009,12,2.672025472,H
887,蓮茸,16,HC0010,12,2.672025472,H
888,杏仁,1051,HC0011,12,5.785634921,H
889,松子仁,249,HC0012,12,8.284858871,H
890,芡實,13,HC0013,12,3.4,H
891,榛果,75,HC0014,12,4.5,H
892,堅果,267,HC0015,12,4.5,H
893,夏威夷豆,42,HC0016,12,8.85,H
894,南瓜子,93,HC0017,12,5.41043672,H
895,無花果,22,HC0018,12,0.9722222222,H
896,開心果,43,HC0019,12,5.609368132,H
897,愛玉子,9,HC0020,1,0.607,H
898,西谷米,67,HC0021,12,1.05,H
899,鷹嘴豆,53,HC0022,12,0.2214285714,H
900,黑豆,109,HC0024,12,0.3207777778,H
901,黃豆,126,HC0025,12,0.3183333333,H
902,紅豆,607,HC0026,2,0.2592943144,H
903,綠豆,171,HC0027,12,0.1472679739,H
904,花豆,26,HC0028,12,0.246353461,H
905,米豆,37,HC0029,12,0.257125,H
906,樹豆,4,HC0030,12,3.47,H
907,翅膀豆,1,HC0031,12,0.11,H
908,虎豆,1,HC0032,12,2.4,H
909,亞麻子,18,HC0033,12,3.76,H
910,白扁豆,23,HC0034,12,0.6066666667,H
911,紅扁豆,9,HC0035,12,1.06,H
912,五香豆,55,HC0036,12,2.96,H
913,蝶豆藍花,4,HC0037,12,2.075,H
914,雜豆,3,HC0038,12,2.075,H
915,綜合豆,22,HC0039,12,4.232,H
916,豆酥碎,51,HC0040,12,4.232,H
917,可可豆,25,HC0041,12,0.4,H
918,伍仁果,2,HC0042,12,0.257125,H
919,蠶豆,1,HC0043,12,2.775996399,H
920,鳥豆,1,HC0044,12,1.06,H
921,白刀豆,1,HC0045,12,0.25,H
922,蜜豆,4,HC0046,12,1.975996399,H
923,咖啡豆,23,HC0047,4,0.48,H
924,混合生豆,4,HC0048,12,0.3183333333,H
925,香草籽,15,HC0049,12,0.3333333,H
926,莧菜籽,NA,HC0050,12,0.378,H
927,奇亞籽,22,HC0051,12,0.49,H
928,奇雅籽,1,HC0052,12,0.49,H
929,破布籽,4,HC0053,12,0.378,H
930,亞答子,1,HC0054,12,0.378,H
931,亞麻籽,28,HC0055,12,5.34,H
932,葵瓜子,61,HC0056,12,5.508290598,H
933,西瓜子,NA,HC0057,12,6.894263566,H
934,洋車前子,2,HC0058,12,0.378,H
935,胚芽,45,HC0059,12,0.414,H
936,羅勒子,13,HC0060,12,0.4,H
937,南瓜籽,23,HC0061,12,2.8,H
938,澎大海,3,HC0062,12,0.37,H
939,大麻籽,1,HC0063,12,0.378,H
940,奶精,41,HD0001,12,4.93,H
941,奶球,21,HD0002,12,2.6,H
942,鮮奶油,2786,HD0003,12,3.1,H
943,奶粉,811,HD0004,12,3.983463204,H
944,奶水,336,HD0005,12,0.6499607843,H
945,牛奶,6429,HD0006,12,0.6499607843,H
946,奶泡,10,HD0007,12,0.6499607843,H
947,乳清,2,HD0008,12,3.87,H
948,牛油奶,1,HD0009,12,3.1,H
949,椰奶,568,HD0010,12,2.524,H
950,煉乳,809,HD0011,12,3.408888889,H
951,奶酪,3190,HD0012,12,0.738,H
952,奶酥,31,HD0013,12,7.68,H
953,濃縮奶,4,HD0014,12,0.6499607843,H
954,配方奶,6,HD0015,12,2.44,H
955,保久乳,9,HD0016,12,2.44,H
956,脫脂乳,1,HD0017,12,2.44,H
957,優格,638,HD0019,12,1,H
958,優酪乳,130,HD0020,12,0.738,H
959,母乳,1,HD0021,12,0.650203252,H
960,酪漿,10,HD0022,12,0.738,H
961,奶混合奶油,NA,HD0023,12,3.1,H
962,法式酸奶,3,HD0024,12,0.738,H
963,十穀奶,1,HD0025,12,0.738,H
964,起司,3767,HE0001,12,2.698497942,H
965,起司粉,517,HE0002,12,2.698497942,H
966,羊起司,12,HE0003,12,2.5,H
967,馬茲拉起司,152,HE0004,12,2.698497942,H
968,帕馬森起司,296,HE0005,12,2.698497942,H
969,瑪斯卡彭起司,93,HE0006,12,2.698497942,H
970,卡門貝爾起司,2,HE0007,12,2.698497942,H
971,瑞可達起司,16,HE0008,12,2.698497942,H
972,格呂耶爾起司,6,HE0009,12,2.698497942,H
973,切達起司,54,HE0010,12,3.178333333,H
974,茅屋起司,4,HE0011,12,0.966,H
975,白乳酪,6,HE0012,12,2.698497942,H
976,布利乳酪,2,HE0013,12,2.698497942,H
977,莫佐瑞拉起司,4,HE0014,12,2.698497942,H
978,藍起司,3,HE0015,12,3.615,H
979,奶油起司,623,HE0016,12,3.0475,H
980,帕達諾起司,3,HE0017,12,2.698497942,H
981,焗烤起司,50,HE0018,12,2.698497942,H
982,貝爾佩斯起司,2,HE0019,12,2.698497942,H
983,帕芙隆起士,1,HE0020,12,2.698497942,H
984,海菜,61,IA0001,12,0.193,I
985,紅藻,8,IA0002,12,0.314,I
986,綠藻,12,IA0003,12,0.193,I
987,藍藻,1,IA0004,12,0.193,I
988,羊栖菜,1,IA0005,12,0.193,I
989,海苔,1276,IA0006,12,0.177,I
990,海帶,743,IA0007,12,0.1684126984,I
991,裙帶芽,NA,IA0008,12,0.1684126984,I
992,海藻,67,IA0009,12,0.082,I
993,海珊瑚,16,IA0010,12,0.082,I
994,洋菜,45,IA0011,12,0.2126666667,I
995,髮菜,24,IA0012,12,0.241,I
996,螺璇藻,1,IA0013,12,0.1684126984,I
997,混合菇,128,IB0001,12,0.37,I
998,粉紅甜心菇,NA,IB0002,12,0.37,I
999,黃金菇,5,IB0003,12,0.37,I
1000,珍珠菇,9,IB0004,12,0.37,I
1001,木耳,540,IB0007,12,0.312625,I
1002,白木耳,105,IB0008,4,0.312625,I
1003,猴頭菇,26,IB0009,3,0.174,I
1004,香菇,3861,IB0010,7,0.3609281316,I
1005,金針菇,620,IB0011,11,0.2775,I
1006,銀耳,23,IB0012,12,0.2203333333,I
1007,洋菇,1082,IB0013,5,0.1088888889,I
1008,巴西蘑菇,10,IB0014,12,0.37,I
1009,杏鮑菇,860,IB0015,12,0.3569230769,I
1010,靈芝,8,IB0016,12,0.37,I
1011,舞菇,65,IB0017,12,0.295,I
1012,滑菇,1,IB0018,12,0.37,I
1013,雞菇,NA,IB0019,12,0.37,I
1014,本菇,2,IB0020,12,0.32,I
1015,白靈菇,4,IB0021,12,0.37,I
1016,霸王菇,1,IB0022,12,0.37,I
1017,松露,76,IB0023,5,0.37,I
1018,牛肝菌,12,IB0024,12,0.37,I
1019,傘菇,1,IB0025,12,0.37,I
1020,珊瑚菇,24,IB0026,8,0.37,I
1021,雞脾菇,2,IB0027,12,0.37,I
1022,秀珍菇,179,IB0028,10,0.31,I
1023,黑木耳,569,IB0029,12,0.2313333333,I
1024,鮑魚菇,55,IB0030,12,0.2431317204,I
1025,鴻喜菇,651,IB0031,3,0.37,I
1026,珍菇,5,IB0032,12,0.37,I
1027,白菇,316,IB0033,3,0.37,I
1028,雪花菇,1,IB0034,12,0.37,I
1029,栗子菇,2,IB0035,12,0.37,I
1030,柳松菇,70,IB0036,12,0.2185,I
1031,草菇,105,IB0037,10,0.25,I
1032,白雪菇,9,IB0038,12,0.37,I
1033,螺旋藻,1,IB0039,12,0.224,I
1034,竹笙,42,IB0040,12,1.55,I
1035,香菇頭,6,IB0041,12,0.37,I
1036,松茸菇,9,IB0042,2,1.12,I
1037,姬松茸,1,IB0043,12,0.37,I
1038,鈕扣菇,6,IB0044,12,0.37,I
1039,舞茸,4,IB0046,12,0.37,I
1040,金茸,6,IB0047,12,0.37,I
1041,黑珍菇,2,IB0048,12,0.37,I
1042,海唇菜,1,IB0049,12,0.37,I
1043,素脆鱔,NA,IB0050,12,0.37,I
1044,真姬菇,5,IB0051,12,0.37,I
1045,雞腿菇,2,IB0052,12,0.257,I
1046,白鶴靈芝,1,IB0053,12,0.37,I
1047,鹿尾菜,1,IB0054,12,0.37,I
1048,天山華翠菇,10,IB0055,12,0.37,I
1049,壽喜菇,4,IB0056,12,0.37,I
1050,酒杯菇,1,IB0057,12,0.37,I
1051,菌菇,16,IB0058,12,0.37,I
1052,帝王菇,1,IB0059,12,0.37,I
1053,牛樟菇,2,IB0060,12,0.37,I
1054,冬蟲夏草,7,IB0061,12,2.92,I
1055,韓國菇,1,IB0062,12,0.37,I
1056,八角,862,IC0001,12,2,I
1057,枸杞,1035,IC0002,12,0.44,I
1058,使君子,1,IC0003,12,1,I
1059,當歸,15,IC0004,12,1,I
1060,柳仔茄,1,IC0005,12,1,I
1061,大黃,2,IC0006,12,0.5266666667,I
1062,熟地,46,IC0007,12,1,I
1063,鼠麴,4,IC0008,12,1,I
1064,苦蔘根,1,IC0009,12,0.98,I
1065,蘆根,3,IC0010,12,1,I
1066,鉤藤,1,IC0011,12,1,I
1067,香薷,1,IC0012,12,0.98,I
1068,牛膝,3,IC0013,12,1,I
1069,桑枝片,1,IC0014,12,0.98,I
1070,連翹,2,IC0015,12,1,I
1071,淡竹葉,2,IC0016,12,0.32,I
1072,木香,1,IC0017,12,1,I
1073,丁香,172,IC0018,12,0.359,I
1074,川芎,95,IC0019,12,1,I
1075,黃耆,180,IC0020,12,3.3,I
1076,炙耆,1,IC0021,12,1,I
1077,小黃皮,4,IC0022,12,1,I
1078,陳皮,158,IC0023,12,2.78,I
1079,蜜柑皮屑,1,IC0024,12,1,I
1080,玉帶根,1,IC0025,12,1,I
1081,麥冬,1,IC0026,12,0.98,I
1082,金錢草,2,IC0027,12,1,I
1083,辛夷,1,IC0028,12,1,I
1084,槐花,1,IC0029,12,0.78,I
1085,桂枝,96,IC0030,12,1,I
1086,興渠,1,IC0031,12,0.98,I
1087,沙姜,NA,IC0032,12,0.41,I
1088,煙燻料,2,IC0033,12,1,I
1089,益母草,3,IC0034,12,1,I
1090,紅棗,687,IC0035,12,2.272074074,I
1091,枯梗,1,IC0036,12,1,I
1092,乾葛,1,IC0037,12,1,I
1093,天麻,4,IC0038,12,0.68,I
1094,明日葉,1,IC0039,12,1,I
1095,大青葉,1,IC0040,12,1,I
1096,山槴子,1,IC0041,12,1,I
1097,黨參,35,IC0042,12,1,I
1098,葛根,2,IC0043,12,0.98,I
1099,蝴蝶果,1,IC0044,12,1,I
1100,巴蕉葉,1,IC0045,12,1,I
1101,尖尾風,1,IC0046,12,1,I
1102,墨角蘭,1,IC0047,12,1,I
1103,淮山,44,IC0048,12,3.51,I
1104,桔梗,3,IC0049,12,1,I
1105,茵蔯蒿,20,IC0050,12,0.56,I
1106,玉竹,19,IC0051,12,1,I
1107,芫荽子,5,IC0052,12,1,I
1108,肉蓯蓉,1,IC0053,12,1,I
1109,杜仲,15,IC0054,12,1.175,I
1110,茯苓,15,IC0055,12,3.23,I
1111,澤瀉,1,IC0056,12,1,I
1112,香茹,2,IC0057,12,1,I
1113,蓮子心,1,IC0058,12,1,I
1114,何首烏,13,IC0059,12,1,I
1115,枇杷葉,1,IC0060,12,1,I
1116,荊芥,3,IC0061,12,1,I
1117,臭草,1,IC0062,12,0.98,I
1118,一陽齒,1,IC0063,12,1,I
1119,桑白皮,1,IC0064,12,1,I
1120,青粉,2,IC0065,12,1,I
1121,雪蛤膏,2,IC0066,12,1,I
1122,鐵樹葉,1,IC0067,12,1,I
1123,含殼草,1,IC0068,12,1,I
1124,知母,1,IC0069,12,1,I
1125,板藍根,3,IC0070,12,1,I
1126,伏苓,2,IC0071,12,0.98,I
1127,地黃,3,IC0072,12,1,I
1128,茅根,7,IC0073,12,1,I
1129,黃精,1,IC0074,12,1,I
1130,女貞子,1,IC0075,12,1,I
1131,九尾草,14,IC0076,12,0.98,I
1132,五加皮,2,IC0077,12,1,I
1133,沙蔘,5,IC0078,12,1,I
1134,花旗蔘,9,IC0079,12,1,I
1135,野山蔘,1,IC0080,12,1,I
1136,三七,3,IC0081,12,0.45,I
1137,黃耳,1,IC0082,12,1,I
1138,川貝,5,IC0083,12,0.35,I
1139,珠貝,7,IC0084,12,1,I
1140,茄苳,1,IC0085,12,1,I
1141,佛甲草,1,IC0086,12,1,I
1142,白芍,7,IC0087,12,1,I
1143,白芷,4,IC0088,12,3.24,I
1144,芍藥,3,IC0089,12,1,I
1145,蛤蚧,1,IC0090,12,1,I
1146,仙楂,11,IC0091,12,0.98,I
1147,鳳尾草,2,IC0092,12,1,I
1148,罌粟籽,3,IC0093,12,0.884,I
1149,青杞,4,IC0094,12,1,I
1150,樹子,110,IC0095,12,1.62,I
1151,羅漢果,20,IC0096,12,1.69,I
1152,苦地膽,1,IC0098,12,1,I
1153,世蒲鉾,3,IC0099,12,1,I
1154,甘拿許,3,IC0100,12,0.98,I
