V1.x,V1.y,V3,V2
小匙,AA0001,15,﻿牛肉
磅,AA0001,455,﻿牛肉
g,AA0001,1,﻿牛肉
茶匙,AA0001,5,﻿牛肉
倇,AA0001,330,﻿牛肉
顆,AA0001,150,﻿牛肉
根,AA0001,5,﻿牛肉
公斤,AA0001,1000,﻿牛肉
少許,AA0001,150,﻿牛肉
oz,AA0001,28,﻿牛肉
片,AA0001,1,﻿牛肉
小包,AA0001,200,﻿牛肉
個,AA0001,1,﻿牛肉
CC,AA0001,1,﻿牛肉
百克,AA0001,150,﻿牛肉
盎司,AA0001,28,﻿牛肉
大匙,AA0001,15,﻿牛肉
人份,AA0001,250,﻿牛肉
條,AA0001,605,﻿牛肉
cc,AA0001,1,﻿牛肉
㏄,AA0001,1,﻿牛肉
克,AA0001,1,﻿牛肉
公克,AA0001,1,﻿牛肉
份,AA0001,15,﻿牛肉
元,AA0001,200,﻿牛肉
罐,AA0001,5,﻿牛肉
lb,AA0001,455,﻿牛肉
G,AA0001,1,﻿牛肉
杯,AA0001,15,﻿牛肉
c.c.,AA0001,1,﻿牛肉
斤,AA0001,605,﻿牛肉
克,AA0001,1,﻿牛肉
磅,AA0001,455,﻿牛肉
盒80元,AA0001,NA,﻿牛肉
大湯匙,AA0001,15,﻿牛肉
元,AA0001,200,﻿牛肉
數片,AA0001,150,﻿牛肉
盒,AA0001,605,﻿牛肉
適量,AA0001,1,﻿牛肉
塊,AA0001,455,﻿牛肉
kg,AA0001,1000,﻿牛肉
g,AA0001,1,﻿牛肉
碗,AA0001,230,﻿牛肉
ml,AA0001,1,﻿牛肉
鍋,AA0001,300,﻿牛肉
包,AA0001,200,﻿牛肉
片,AA0001,1,﻿牛肉
些許,AA0001,150,﻿牛肉
酌量,AA0001,200,﻿牛肉
量,AA0001,1,﻿牛肉
湯匙,AA0001,15,﻿牛肉
T,AA0001,15,﻿牛肉
磅,AA0002,455,牛絞肉
g,AA0002,1,牛絞肉
公斤,AA0002,1000,牛絞肉
ｇ,AA0002,1,牛絞肉
大匙,AA0002,15,牛絞肉
克,AA0002,1,牛絞肉
公克,AA0002,1,牛絞肉
份,AA0002,15,牛絞肉
元,AA0002,200,牛絞肉
G,AA0002,1,牛絞肉
斤,AA0002,605,牛絞肉
均可,AA0002,150,牛絞肉
碗,AA0002,230,牛絞肉
些,AA0002,150,牛絞肉
盒,AA0002,605,牛絞肉
適量,AA0002,1,牛絞肉
磅,AA0002,455,牛絞肉
g,AA0002,1,牛絞肉
包,AA0002,200,牛絞肉
隨意,AA0002,1,牛絞肉
盒,AA0002,605,牛絞肉
把,AA0003,200,牛肉絲
盒,AA0003,605,牛肉絲
g,AA0003,1,牛肉絲
g,AA0003,1,牛肉絲
杯,AA0003,15,牛肉絲
斤,AA0003,605,牛肉絲
G,AA0003,1,牛肉絲
份,AA0003,15,牛肉絲
適量,AA0003,1,牛肉絲
少許,AA0003,150,牛肉絲
克,AA0003,1,牛肉絲
公克,AA0003,1,牛肉絲
酌量,AA0003,200,牛肉絲
元,AA0003,200,牛肉絲
g,AA0004,1,牛肉片
公斤,AA0004,1000,牛肉片
盤225g,AA0004,200,牛肉片
少許,AA0004,150,牛肉片
個拳頭大,AA0004,300,牛肉片
小片,AA0004,200,牛肉片
數片,AA0004,150,牛肉片
小碗,AA0004,230,牛肉片
g,AA0004,1,牛肉片
人份,AA0004,250,牛肉片
克,AA0004,1,牛肉片
公克,AA0004,1,牛肉片
份,AA0004,15,牛肉片
元,AA0004,200,牛肉片
大片,AA0004,250,牛肉片
G,AA0004,1,牛肉片
碗量,AA0004,230,牛肉片
斤,AA0004,605,牛肉片
碗,AA0004,230,牛肉片
碟,AA0004,300,牛肉片
些,AA0004,150,牛肉片
盒,AA0004,605,牛肉片
適量,AA0004,1,牛肉片
g,AA0004,1,牛肉片
包,AA0004,200,牛肉片
片,AA0004,1,牛肉片
隨意,AA0004,1,牛肉片
盒,AA0004,605,牛肉片
小匙,AA0005,15,牛排
大塊,AA0005,250,牛排
瓶,AA0005,5,牛排
茶匙,AA0005,5,牛排
適量,AA0005,1,牛排
少許,AA0005,150,牛排
片,AA0005,1,牛排
客,AA0005,230,牛排
大匙,AA0005,15,牛排
人份,AA0005,250,牛排
㏄,AA0005,1,牛排
克,AA0005,1,牛排
公克,AA0005,1,牛排
份,AA0005,15,牛排
大片,AA0005,250,牛排
塊,AA0005,455,牛排
大匙,AA0005,15,牛排
罐,AA0005,5,牛排
盒,AA0005,605,牛排
塊,AA0005,455,牛排
kg,AA0005,1000,牛排
g,AA0005,1,牛排
小片,AA0005,200,牛排
片,AA0005,1,牛排
匙,AA0005,15,牛排
中匙,AA0005,5,牛排
點點,AA0005,5,牛排
片,AA0006,1,肩胛小排
公克,AA0006,1,肩胛小排
塊,AA0006,455,肩胛小排
g,AA0006,1,肩胛小排
片,AA0007,1,牛里肌
公克,AA0007,1,牛里肌
g,AA0007,1,牛里肌
大塊,AA0008,250,牛肩肉
盒,AA0008,605,牛肩肉
塊,AA0008,455,牛肩肉
g,AA0008,1,牛肩肉
斤,AA0008,605,牛肩肉
片,AA0008,1,牛肩肉
公克,AA0008,1,牛肩肉
份,AA0008,15,牛肩肉
公克,AA0009,1,板腱肉
塊,AA0009,455,板腱肉
g,AA0009,1,板腱肉
適量,AA0010,1,肋眼牛排
塊,AA0010,455,肋眼牛排
kg,AA0010,1000,肋眼牛排
g,AA0010,1,肋眼牛排
條,AA0010,605,肋眼牛排
片,AA0010,1,肋眼牛排
適量,AA0011,1,牛小排
盒,AA0011,605,牛小排
塊,AA0011,455,牛小排
kg,AA0011,1000,牛小排
g,AA0011,1,牛小排
人份,AA0011,250,牛小排
斤,AA0011,605,牛小排
盎司,AA0011,28,牛小排
條,AA0011,605,牛小排
包,AA0011,200,牛小排
片,AA0011,1,牛小排
克,AA0011,1,牛小排
片,AA0011,1,牛小排
公克,AA0011,1,牛小排
份,AA0011,15,牛小排
斤300克,AA0012,NA,牛肋排
塊,AA0012,455,牛肋排
kg,AA0012,1000,牛肋排
g,AA0012,1,牛肋排
G,AA0012,1,牛肋排
人份,AA0012,250,牛肋排
公斤,AA0012,1000,牛肋排
斤,AA0012,605,牛肋排
條,AA0012,605,牛肋排
包,AA0012,200,牛肋排
適量,AA0012,1,牛肋排
克,AA0012,1,牛肋排
數條,AA0012,250,牛肋排
公克,AA0012,1,牛肋排
份,AA0012,15,牛肋排
g,AA0012,1,牛肋排
g,AA0013,1,丁骨牛排
客,AA0014,230,紐約克牛排
塊,AA0014,455,紐約克牛排
g,AA0014,1,紐約克牛排
片,AA0014,1,紐約克牛排
片,AA0014,1,紐約克牛排
份,AA0014,15,紐約克牛排
盎司,AA0015,28,沙朗牛排
磅,AA0015,455,沙朗牛排
g,AA0015,1,沙朗牛排
塊.500g,AA0015,455,沙朗牛排
包,AA0015,200,沙朗牛排
片,AA0015,1,沙朗牛排
塊,AA0015,455,沙朗牛排
克,AA0015,1,沙朗牛排
片,AA0015,1,沙朗牛排
公克,AA0015,1,沙朗牛排
份,AA0015,15,沙朗牛排
適量,AA0016,1,腓力牛排
塊,AA0016,455,腓力牛排
g,AA0016,1,腓力牛排
片,AA0016,1,腓力牛排
片,AA0016,1,腓力牛排
公克,AA0016,1,腓力牛排
適量,AA0017,1,牛菲力
盎司,AA0017,28,牛菲力
塊,AA0017,455,牛菲力
磅,AA0017,455,牛菲力
g,AA0017,1,牛菲力
g,AA0017,1,牛菲力
杯,AA0017,15,牛菲力
公斤,AA0017,1000,牛菲力
斤,AA0017,605,牛菲力
條,AA0017,605,牛菲力
包,AA0017,200,牛菲力
片,AA0017,1,牛菲力
克,AA0017,1,牛菲力
公克,AA0017,1,牛菲力
公克,AA0017,1,牛菲力
塊,AA0017,455,牛菲力
份,AA0017,15,牛菲力
公克,AA0018,1,牛腰
片,AA0019,1,牛後腿肉
公克,AA0019,1,牛後腿肉
g,AA0019,1,牛後腿肉
g,AA0020,1,牛臀肉
適量,AA0021,1,牛腩
斤切塊,AA0021,605,牛腩
g,AA0021,1,牛腩
G,AA0021,1,牛腩
大條,AA0021,250,牛腩
斤,AA0021,605,牛腩
條,AA0021,605,牛腩
包,AA0021,200,牛腩
公斤,AA0021,1000,牛腩
大碗,AA0021,330,牛腩
塊,AA0021,455,牛腩
ｇ,AA0021,1,牛腩
杯,AA0021,15,牛腩
克,AA0021,1,牛腩
碗,AA0021,230,牛腩
公克,AA0021,1,牛腩
盒,AA0021,605,牛腩
適量,AA0022,1,雪花牛肉
公克,AA0022,1,雪花牛肉
盒,AA0022,605,雪花牛肉
g,AA0022,1,雪花牛肉
片,AA0023,1,牛五花肉
大片,AA0023,250,牛五花肉
來片,AA0023,NA,牛五花肉
g,AA0023,1,牛五花肉
G,AA0023,1,牛五花肉
適量,AA0023,1,牛五花肉
克,AA0023,1,牛五花肉
克,AA0023,1,牛五花肉
公克,AA0023,1,牛五花肉
數片,AA0023,150,牛五花肉
盒,AA0023,605,牛五花肉
大塊,AA0024,250,牛腱
粒,AA0024,150,牛腱
個,AA0024,1,牛腱
顆,AA0024,150,牛腱
適量,AA0024,1,牛腱
公克,AA0024,1,牛腱
副,AA0024,150,牛腱
個,AA0024,1,牛腱
盒,AA0024,605,牛腱
條,AA0024,605,牛腱
克,AA0024,1,牛腱
公克,AA0024,1,牛腱
份,AA0024,15,牛腱
元,AA0024,200,牛腱
kg左右,AA0024,1000,牛腱
G,AA0024,1,牛腱
斤,AA0024,605,牛腱
碗,AA0024,230,牛腱
隻,AA0024,605,牛腱
公斤,AA0024,1000,牛腱
塊,AA0024,455,牛腱
g,AA0024,1,牛腱
整條,AA0024,200,牛腱
公克,AB0002,1,牛腸
g,AB0003,1,牛尾
條,AB0003,605,牛尾
根,AB0003,5,牛尾
條,AB0003,605,牛尾
包,AB0003,200,牛尾
公斤,AB0003,1000,牛尾
克,AB0003,1,牛尾
公克,AB0003,1,牛尾
片,AB0004,1,牛舌
公克,AB0004,1,牛舌
條,AB0004,605,牛舌
g,AB0004,1,牛舌
包,AB0004,200,牛舌
公克,AB0005,1,牛心
顆,AB0005,150,牛心
個,AB0005,1,牛心
克,AB0005,1,牛心
塊,AB0006,455,牛肝
g,AB0006,1,牛肝
g,AB0006,1,牛肝
適量,AB0006,1,牛肝
克,AB0006,1,牛肝
公克,AB0006,1,牛肝
大塊,AB0007,250,牛骨
塊,AB0007,455,牛骨
kg,AB0007,1000,牛骨
個,AB0007,1,牛骨
g,AB0007,1,牛骨
cc,AB0007,1,牛骨
根,AB0007,5,牛骨
公斤,AB0007,1000,牛骨
斤,AB0007,605,牛骨
斤,AB0007,605,牛骨
適量,AB0007,1,牛骨
大碗,AB0007,330,牛骨
㏄,AB0007,1,牛骨
克,AB0007,1,牛骨
公克,AB0007,1,牛骨
支,AB0007,200,牛骨
g,AB0008,1,牛筋
斤,AB0008,605,牛筋
條,AB0008,605,牛筋
包,AB0008,200,牛筋
適量,AB0008,1,牛筋
少許,AB0008,150,牛筋
克,AB0008,1,牛筋
公克,AB0008,1,牛筋
適量,AB0009,1,牛肚
g,AB0009,1,牛肚
G,AB0009,1,牛肚
斤,AB0009,605,牛肚
盤,AB0009,200,牛肚
片,AB0009,1,牛肚
克,AB0009,1,牛肚
公克,AB0009,1,牛肚
份,AB0009,15,牛肚
個,AB0009,1,牛肚
塊,AB0010,455,牛雜
g,AB0010,1,牛雜
盒527g,AB0010,NA,牛雜
斤,AB0010,605,牛雜
公斤,AB0010,1000,牛雜
CC,AB0010,1,牛雜
公克,AB0010,1,牛雜
些,AB0010,150,牛雜
盒,AB0010,605,牛雜
公克,AB0011,1,牛頭皮
適量,AB0012,1,牛脂
公克,AB0012,1,牛脂
少許,AB0012,150,牛脂
克,AB0012,1,牛脂
塊,AB0012,455,牛脂
片,AC0001,1,牛肉火腿
g,AC0001,1,牛肉火腿
適量,AC0002,1,牛肉丸子
公克,AC0002,1,牛肉丸子
顆,AC0002,150,牛肉丸子
個,AC0002,1,牛肉丸子
g,AC0002,1,牛肉丸子
大塊,BA0001,250,豬肉
小匙,BA0001,15,豬肉
磅,BA0001,455,豬肉
g,BA0001,1,豬肉
瓶,BA0001,5,豬肉
cc,BA0001,1,豬肉
顆,BA0001,150,豬肉
適量,BA0001,1,豬肉
少許,BA0001,150,豬肉
ｇ,BA0001,1,豬肉
公克,BA0001,1,豬肉
小塊,BA0001,200,豬肉
個,BA0001,1,豬肉
附,BA0001,150,豬肉
隻,BA0001,605,豬肉
大匙,BA0001,15,豬肉
人份,BA0001,250,豬肉
公斤,BA0001,1000,豬肉
碗量,BA0001,230,豬肉
小盒,BA0001,300,豬肉
條,BA0001,605,豬肉
茶匙,BA0001,5,豬肉
㏄,BA0001,1,豬肉
克,BA0001,1,豬肉
公克,BA0001,1,豬肉
份,BA0001,15,豬肉
元,BA0001,200,豬肉
大片,BA0001,250,豬肉
G,BA0001,1,豬肉
杯,BA0001,15,豬肉
斤,BA0001,605,豬肉
小條,BA0001,200,豬肉
L,BA0001,1,豬肉
碗,BA0001,230,豬肉
g 切大丁,BA0001,NA,豬肉
數片,BA0001,150,豬肉
盒,BA0001,605,豬肉
支,BA0001,200,豬肉
克60元,BA0001,NA,豬肉
塊,BA0001,455,豬肉
g,BA0001,1,豬肉
克,BA0001,1,豬肉
c.c.,BA0001,1,豬肉
包,BA0001,200,豬肉
片,BA0001,1,豬肉
罐,BA0001,5,豬肉
匙,BA0001,15,豬肉
個拳頭大小,BA0001,300,豬肉
隨意,BA0001,1,豬肉
盒,BA0001,605,豬肉
適量,BA0002,1,肥豬肉
公克,BA0002,1,肥豬肉
克,BA0002,1,肥豬肉
g,BA0002,1,肥豬肉
碗量,BA0002,230,肥豬肉
片,BA0003,1,豬瘦肉
塊,BA0003,455,豬瘦肉
小塊,BA0003,200,豬瘦肉
G,BA0003,1,豬瘦肉
g,BA0003,1,豬瘦肉
碗量,BA0003,230,豬瘦肉
公斤,BA0003,1000,豬瘦肉
斤,BA0003,605,豬瘦肉
適量,BA0003,1,豬瘦肉
碗,BA0003,230,豬瘦肉
少許,BA0003,150,豬瘦肉
克,BA0003,1,豬瘦肉
小件,BA0003,300,豬瘦肉
大匙,BA0003,15,豬瘦肉
公克,BA0003,1,豬瘦肉
把,BA0003,200,豬瘦肉
元,BA0003,200,豬瘦肉
筋,BA0004,605,豬肉片
g,BA0004,1,豬肉片
顆,BA0004,150,豬肉片
張,BA0004,200,豬肉片
適量,BA0004,1,豬肉片
少許,BA0004,150,豬肉片
片,BA0004,1,豬肉片
小片,BA0004,200,豬肉片
些,BA0004,150,豬肉片
人份,BA0004,250,豬肉片
小盒,BA0004,300,豬肉片
條,BA0004,605,豬肉片
克,BA0004,1,豬肉片
公克,BA0004,1,豬肉片
份,BA0004,15,豬肉片
oog,BA0004,NA,豬肉片
大片,BA0004,250,豬肉片
G,BA0004,1,豬肉片
飯碗,BA0004,230,豬肉片
斤,BA0004,605,豬肉片
碗,BA0004,230,豬肉片
數片,BA0004,150,豬肉片
盒,BA0004,605,豬肉片
酌量,BA0004,200,豬肉片
g,BA0004,1,豬肉片
盤,BA0004,200,豬肉片
包,BA0004,200,豬肉片
片,BA0004,1,豬肉片
些許,BA0004,150,豬肉片
隨意,BA0004,1,豬肉片
片,BA0005,1,豬肉丁
大匙,BA0005,15,豬肉丁
g,BA0005,1,豬肉丁
杯,BA0005,15,豬肉丁
根,BA0005,5,豬肉丁
條,BA0005,605,豬肉丁
適量,BA0005,1,豬肉丁
克,BA0005,1,豬肉丁
公克,BA0005,1,豬肉丁
盒,BA0005,605,豬肉丁
小塊,BA0006,200,豬肉塊
些許,BA0006,150,豬肉塊
g,BA0006,1,豬肉塊
公克,BA0006,1,豬肉塊
小匙,BA0007,15,豬絞肉
盒,BA0007,605,豬絞肉
磅,BA0007,455,豬絞肉
g,BA0007,1,豬絞肉
杯,BA0007,15,豬絞肉
小盒,BA0007,300,豬絞肉
顆,BA0007,150,豬絞肉
元的份量,BA0007,NA,豬絞肉
斤盒,BA0007,605,豬絞肉
公斤,BA0007,1000,豬絞肉
拳大小,BA0007,300,豬絞肉
少許,BA0007,150,豬絞肉
ｇ,BA0007,1,豬絞肉
個拳頭大,BA0007,300,豬絞肉
公克,BA0007,1,豬絞肉
台斤,BA0007,605,豬絞肉
gr,BA0007,1000,豬絞肉
把,BA0007,200,豬絞肉
小碗,BA0007,230,豬絞肉
碗,BA0007,230,豬絞肉
大匙,BA0007,15,豬絞肉
袋,BA0007,250,豬絞肉
人份,BA0007,250,豬絞肉
個拳頭,BA0007,300,豬絞肉
百元,BA0007,NA,豬絞肉
碗量,BA0007,230,豬絞肉
斤,BA0007,605,豬絞肉
條,BA0007,605,豬絞肉
克,BA0007,1,豬絞肉
Ｇ,BA0007,1,豬絞肉
公克,BA0007,1,豬絞肉
份,BA0007,15,豬絞肉
元,BA0007,200,豬絞肉
lb,BA0007,455,豬絞肉
G,BA0007,1,豬絞肉
糰,BA0007,250,豬絞肉
元左右,BA0007,200,豬絞肉
斤,BA0007,605,豬絞肉
小把,BA0007,200,豬絞肉
碗,BA0007,230,豬絞肉
塊,BA0007,455,豬絞肉
T,BA0007,15,豬絞肉
g左右,BA0007,1000,豬絞肉
些,BA0007,150,豬絞肉
盒,BA0007,605,豬絞肉
適量,BA0007,1,豬絞肉
巴掌,BA0007,300,豬絞肉
磅,BA0007,455,豬絞肉
kg,BA0007,1000,豬絞肉
大碗,BA0007,330,豬絞肉
g,BA0007,1,豬絞肉
克,BA0007,1,豬絞肉
ml,BA0007,1,豬絞肉
元份量,BA0007,NA,豬絞肉
飯碗,BA0007,230,豬絞肉
包,BA0007,200,豬絞肉
分,BA0007,5,豬絞肉
匙,BA0007,15,豬絞肉
些許,BA0007,150,豬絞肉
酌量,BA0007,200,豬絞肉
個拳頭大小,BA0007,300,豬絞肉
隨意,BA0007,1,豬絞肉
湯匙,BA0007,15,豬絞肉
元份,BA0007,NA,豬絞肉
磅,BA0008,455,豬肉絲
g,BA0008,1,豬肉絲
月2日,BA0008,NA,豬肉絲
把抓,BA0008,NA,豬肉絲
飯碗,BA0008,230,豬肉絲
適量,BA0008,1,豬肉絲
少許,BA0008,150,豬肉絲
kg,BA0008,1000,豬肉絲
小碗,BA0008,230,豬肉絲
大匙,BA0008,15,豬肉絲
自行斟酌,BA0008,150,豬肉絲
㏄,BA0008,1,豬肉絲
克,BA0008,1,豬肉絲
公克,BA0008,1,豬肉絲
份,BA0008,15,豬肉絲
元,BA0008,200,豬肉絲
G,BA0008,1,豬肉絲
碗量,BA0008,230,豬肉絲
斤,BA0008,605,豬肉絲
米杯,BA0008,230,豬肉絲
碗,BA0008,230,豬肉絲
大湯匙,BA0008,15,豬肉絲
盒,BA0008,605,豬肉絲
杯,BA0008,15,豬肉絲
酌量,BA0008,200,豬肉絲
g,BA0008,1,豬肉絲
盤,BA0008,200,豬肉絲
包,BA0008,200,豬肉絲
片,BA0008,1,豬肉絲
小把,BA0008,200,豬肉絲
少量,BA0008,150,豬肉絲
數條,BA0008,250,豬肉絲
隨意,BA0008,1,豬肉絲
公斤,BA0009,1000,豬肉條
盒,BA0009,605,豬肉條
g,BA0009,1,豬肉條
斤,BA0009,605,豬肉條
條,BA0009,605,豬肉條
適量,BA0009,1,豬肉條
少許,BA0009,150,豬肉條
克,BA0009,1,豬肉條
公克,BA0009,1,豬肉條
份,BA0009,15,豬肉條
副,BA0009,150,豬肉條
個,BA0010,1,豬排
適量,BA0010,1,豬排
少許,BA0010,150,豬排
片,BA0010,1,豬排
大匙,BA0010,15,豬排
人份,BA0010,250,豬排
件,BA0010,200,豬排
㏄,BA0010,1,豬排
克,BA0010,1,豬排
公克,BA0010,1,豬排
份,BA0010,15,豬排
塊,BA0010,455,豬排
斤,BA0010,605,豬排
件,BA0010,200,豬排
數片,BA0010,150,豬排
盒,BA0010,605,豬排
支,BA0010,200,豬排
塊,BA0010,455,豬排
g,BA0010,1,豬排
片,BA0010,1,豬排
匙,BA0010,15,豬排
些許,BA0010,150,豬排
份,BA0011,15,乳豬
適量,BA0012,1,松阪豬
盒,BA0012,605,松阪豬
塊,BA0012,455,松阪豬
kg,BA0012,1000,松阪豬
克,BA0012,1,松阪豬
g,BA0012,1,松阪豬
少量,BA0012,150,松阪豬
大塊,BA0012,250,松阪豬
斤,BA0012,605,松阪豬
包,BA0012,200,松阪豬
片,BA0012,1,松阪豬
大片,BA0012,250,松阪豬
碗,BA0012,230,松阪豬
小塊,BA0012,200,松阪豬
公克,BA0012,1,松阪豬
公克,BA0012,1,松阪豬
份,BA0012,15,松阪豬
元,BA0012,200,松阪豬
大塊,BA0013,250,豬梅花肉
小塊,BA0013,200,豬梅花肉
g,BA0013,1,豬梅花肉
PCS,BA0013,NA,豬梅花肉
顆,BA0013,150,豬梅花肉
適量,BA0013,1,豬梅花肉
公,BA0013,1,豬梅花肉
片,BA0013,1,豬梅花肉
粒,BA0013,150,豬梅花肉
小片,BA0013,200,豬梅花肉
大匙,BA0013,15,豬梅花肉
斤,BA0013,605,豬梅花肉
條,BA0013,605,豬梅花肉
克,BA0013,1,豬梅花肉
公克,BA0013,1,豬梅花肉
份,BA0013,15,豬梅花肉
元,BA0013,200,豬梅花肉
大片,BA0013,250,豬梅花肉
G,BA0013,1,豬梅花肉
斤,BA0013,605,豬梅花肉
碗,BA0013,230,豬梅花肉
元,BA0013,200,豬梅花肉
盒,BA0013,605,豬梅花肉
數顆,BA0013,250,豬梅花肉
塊,BA0013,455,豬梅花肉
g,BA0013,1,豬梅花肉
盤,BA0013,200,豬梅花肉
包,BA0013,200,豬梅花肉
片,BA0013,1,豬梅花肉
隨意,BA0013,1,豬梅花肉
適量,BA0014,1,梅花肉片
盒,BA0014,605,梅花肉片
g,BA0014,1,梅花肉片
g,BA0014,1,梅花肉片
人份,BA0014,250,梅花肉片
斤,BA0014,605,梅花肉片
小盒,BA0014,300,梅花肉片
盤,BA0014,200,梅花肉片
片,BA0014,1,梅花肉片
克,BA0014,1,梅花肉片
少許,BA0014,150,梅花肉片
克,BA0014,1,梅花肉片
盒108元,BA0014,NA,梅花肉片
G,BA0014,1,梅花肉片
公克,BA0014,1,梅花肉片
數片,BA0014,150,梅花肉片
份,BA0014,15,梅花肉片
適量,BA0015,1,豬胛心肉
盒,BA0015,605,豬胛心肉
磅,BA0015,455,豬胛心肉
小塊,BA0015,200,豬胛心肉
g,BA0015,1,豬胛心肉
斤,BA0015,605,豬胛心肉
根,BA0015,5,豬胛心肉
大件,BA0015,400,豬胛心肉
kilogram,BA0015,1000,豬胛心肉
片,BA0015,1,豬胛心肉
塊,BA0015,455,豬胛心肉
克,BA0015,1,豬胛心肉
公克,BA0015,1,豬胛心肉
公克,BA0015,1,豬胛心肉
份,BA0015,15,豬胛心肉
台斤,BA0015,605,豬胛心肉
塊,BA0016,455,胛心排
g,BA0016,1,胛心排
斤,BA0016,605,胛心排
適量,BA0016,1,胛心排
克,BA0016,1,胛心排
公克,BA0016,1,胛心排
份,BA0016,15,胛心排
元,BA0016,200,胛心排
公克,BA0017,1,豬軟骨排
斤,BA0017,605,豬軟骨排
條,BA0017,605,豬軟骨排
g,BA0017,1,豬軟骨排
大塊,BA0019,250,豬里肌
磅,BA0019,455,豬里肌
厚片,BA0019,200,豬里肌
cc,BA0019,1,豬里肌
條,BA0019,605,豬里肌
份,BA0019,15,豬里肌
適量,BA0019,1,豬里肌
ｇ,BA0019,1,豬里肌
片,BA0019,1,豬里肌
小拳頭,BA0019,300,豬里肌
人份,BA0019,250,豬里肌
條,BA0019,605,豬里肌
克,BA0019,1,豬里肌
公克,BA0019,1,豬里肌
酌量,BA0019,200,豬里肌
G,BA0019,1,豬里肌
斤,BA0019,605,豬里肌
碗,BA0019,230,豬里肌
磅,BA0019,455,豬里肌
數片,BA0019,150,豬里肌
盒,BA0019,605,豬里肌
片 600g,BA0019,NA,豬里肌
塊,BA0019,455,豬里肌
g,BA0019,1,豬里肌
克,BA0019,1,豬里肌
包,BA0019,200,豬里肌
片,BA0019,1,豬里肌
數條,BA0019,250,豬里肌
整條,BA0019,200,豬里肌
大片,BA0019,250,豬里肌
適量,BA0020,1,豬里肌肉片
盒,BA0020,605,豬里肌肉片
g,BA0020,1,豬里肌肉片
斤,BA0020,605,豬里肌肉片
片,BA0020,1,豬里肌肉片
少許,BA0020,150,豬里肌肉片
酌量,BA0020,200,豬里肌肉片
公克,BA0020,1,豬里肌肉片
份,BA0020,15,豬里肌肉片
適量,BA0021,1,二層肉
g,BA0021,1,二層肉
塊,BA0022,455,龍骨
g,BA0022,1,龍骨
G,BA0022,1,龍骨
斤,BA0022,605,龍骨
克,BA0022,1,龍骨
公克,BA0022,1,龍骨
份,BA0023,15,豬里肌肉排
G,BA0023,1,豬里肌肉排
g,BA0023,1,豬里肌肉排
斤,BA0023,605,豬里肌肉排
條,BA0023,605,豬里肌肉排
包,BA0023,200,豬里肌肉排
片,BA0023,1,豬里肌肉排
隻,BA0023,605,豬里肌肉排
塊,BA0023,455,豬里肌肉排
支,BA0023,200,豬里肌肉排
克,BA0023,1,豬里肌肉排
片,BA0023,1,豬里肌肉排
公克,BA0023,1,豬里肌肉排
盒,BA0023,605,豬里肌肉排
元,BA0023,200,豬里肌肉排
大塊,BA0024,250,排骨
袋,BA0024,250,排骨
磅,BA0024,455,排骨
g,BA0024,1,排骨
cc,BA0024,1,排骨
小盒,BA0024,300,排骨
根,BA0024,5,排骨
節,BA0024,200,排骨
適量,BA0024,1,排骨
少許,BA0024,150,排骨
匙,BA0024,15,排骨
小排,BA0024,300,排骨
t根,BA0024,NA,排骨
入,BA0024,NA,排骨
小塊,BA0024,200,排骨
大支量,BA0024,200,排骨
小包,BA0024,200,排骨
台斤,BA0024,605,排骨
個,BA0024,1,排骨
塊錢,BA0024,150,排骨
隻,BA0024,605,排骨
塊,BA0024,455,排骨
人份,BA0024,250,排骨
斤,BA0024,605,排骨
條,BA0024,605,排骨
件,BA0024,200,排骨
㏄,BA0024,1,排骨
克,BA0024,1,排骨
公克,BA0024,1,排骨
份,BA0024,15,排骨
元,BA0024,200,排骨
G,BA0024,1,排骨
杯,BA0024,15,排骨
CC,BA0024,1,排骨
條肋切塊,BA0024,NA,排骨
個拳頭份量,BA0024,300,排骨
斤,BA0024,605,排骨
克,BA0024,1,排骨
包300克,BA0024,NA,排骨
盒,BA0024,605,排骨
塊左右,BA0024,200,排骨
支,BA0024,200,排骨
公斤,BA0024,1000,排骨
塊,BA0024,455,排骨
kg,BA0024,1000,排骨
大碗,BA0024,330,排骨
g,BA0024,1,排骨
ml,BA0024,1,排骨
鍋,BA0024,300,排骨
盤,BA0024,200,排骨
包,BA0024,200,排骨
片,BA0024,1,排骨
酌量,BA0024,200,排骨
隨意,BA0024,1,排骨
人,BA0024,250,排骨
湯匙,BA0024,15,排骨
點點,BA0024,5,排骨
大塊,BA0025,250,豬五花肉
磅,BA0025,455,豬五花肉
g,BA0025,1,豬五花肉
公斤,BA0025,1000,豬五花肉
少許,BA0025,150,豬五花肉
ｇ,BA0025,1,豬五花肉
公克,BA0025,1,豬五花肉
小塊,BA0025,200,豬五花肉
包,BA0025,200,豬五花肉
數片,BA0025,150,豬五花肉
台斤,BA0025,605,豬五花肉
小片,BA0025,200,豬五花肉
kg,BA0025,1000,豬五花肉
百克,BA0025,150,豬五花肉
大匙,BA0025,15,豬五花肉
袋,BA0025,250,豬五花肉
人份,BA0025,250,豬五花肉
碗量,BA0025,230,豬五花肉
小條,BA0025,200,豬五花肉
條,BA0025,605,豬五花肉
克,BA0025,1,豬五花肉
公克,BA0025,1,豬五花肉
份,BA0025,15,豬五花肉
元,BA0025,200,豬五花肉
個,BA0025,1,豬五花肉
大片,BA0025,250,豬五花肉
