食材名稱,同義詞
果汁,果汁
樹子,破布子
蝦,阿根廷甜蝦
貝果,貝果
豆渣,豆渣
青星九刺鮨,紅鱠
黑豆粉,黑豆粉
生抽,淡醬油
帝王蟹,急凍熟帝皇蟹
食鹽,精鹽
甜豌豆,蓮花夾
丹貝,天貝
紅鱸,紅鱸
金線蓮茶包,金線蓮茶包
胡椒粉,黑楜椒粒
蘭姆酒,闌姆酒濃縮 Rum extract
雜糧,細穀雜糧
葡萄,蔔萄
薤,蕗?
食鹽,特級精鹽
帕馬森起司,帕馬森芝士
罐裝金槍魚,罐裝金槍魚
雪蛤膏,蛤士蟆
胡椒粉,黑楜椒粉
鮮味露,鮮味露
透抽,中捲
千島醬,千島沙拉醬
豆蔻,肉荳蔻
辣椒乾,乾辣椒
牛肩肉,牛肩肉
筍醬,醬筍湯汁
紅目鰱,紅目鰱
椰奶,椰 漿
蕨粉,本蕨粉
洋蔥,洋蔥碎
剩菜,剩菜
壽喜燒醬,鼓盛壽喜燒
西瓜子,醬油西瓜子
紅尾冬魚,紅尾冬魚
烤肉醬,四季燒烤醬
拌三絲,拌三絲
烏醋,烏酢
?菜,韭黃
起酥片,起酥片
牛腩,牛喃
高梁酒,金門38度高粱酒
卡士達粉,吉士粉
凍豆腐,凍豆腐
烤肉片,薄烤肉片
豆豉,豆薣
肉桂,玉桂
芹菜,根芹菜
椰子,椰肉
豆薯,豆薯
罌粟籽,食用罌粟籽
山蘇菜,山蘇菜
鮭魚,煙燻鮭魚
魷魚嘴,魷魚嘴
龍舌蘭,龍舌蘭
泰式酸辣湯塊,泰式酸辣湯塊
棗子,台灣土棗
瓜片茶,瓜片茶
辣椒醬,韓國辣沾醬
洋車前子,洋車前子
蝶豆藍花,蝶豆藍花
大阪燒醬汁,大阪燒粉
九層塔,蘿勒粉
花椰菜,綠花耶菜
羊排,法式羊排
花生,土豆
紅絲炒蛋,紅絲炒蛋
酵母粉,即溶快發酵母粉
玉米,玉米
柚子,柚子
帕馬森起司,帕瑪乾酪粉
酸辣湯包,泰國酸辣湯醬
生菜沙拉,綜合生菜沙拉
糖漬鬼椒,糖漬鬼椒
裝飾糖粒,水晶虹彩糖粒
食鹽,岩鹽
蔓越莓,紅莓果
義大利香料,義式綜何香料粉
鮭魚,三文魚扒
虎尾草,虎尾草
天婦羅沾料,日式天婦羅沾料
秋葵,羊角豆
雞骨,雞殼
消化餅乾,無鹽全麥消化餅乾
米血,米血糕
肩胛小排,牛去骨肩胛小排
米酒,料理酒
酵母粉,酵母
酵母粉,酵毋
控肉,控肉
海鰻,海鰻
白醋,清醋
十全藥包,十全藥包
網紗油,網紗油
烤餅,烤餅
豬絞肉,豬肉末
芭樂,芭樂
千張,百葉
蛋黃素,蛋黃素
鴨脖子,鴨頸
蔬菜湯,蔬菜丸子湯
帕馬森起司,帕馬森起司
番紅花,西紅花
葡萄乾,堤子乾
魚翅,水盆翅
蔓越莓,蔓越苺
鴨柳,鴨肉條
膠凍,膠凍
花生,熟花生
芋頭,芋絲
鴨頭,鴨頭
酸黃瓜,酸黃瓜片
醬筍,醬筍
百香果汁,百香果汁
番茄,大蕃茄
炸粉,日式炸排粉
節瓜,黃節瓜塊
筍醬,筍醬
刺鯧,肉魚
中東麵餅,pita
子排,腩排
蹄膀,雄豬蹄
劍旗魚,劍旗魚
砂糖,細糖糖
雞尾酒餡,雞尾酒餡
巧克力,苦甜巧克
臭菜,臭菜
裝飾糖粒,食用糖珠
布蕾粉,布雷粉
油,新油
百頁豆腐,百頁豆腐
蛤,蛤蜊
酵母粉,鮮酵母
梅鹽,梅鹽
糖漿,愛爾蘭果露
白蒲鉾,白蒲鉾
高筋麵粉,高筋麵粉
板豆腐,傳統豆腐
混合菇,綜合菇類
膳纖熟飯,膳纖熟飯
桂花,桂花乾
鵝掌,鵝掌
鳳梨,王梨
芒果,冰芒果肉
魚翅,排翅
澱粉條,澱粉條
紅葉萵苣,紅翠
厚片吐司,厚片土司
辣椒,PAPRIKA
起司,原味芝士
韭蔥,扁蔥
水茄,水茄
腓力牛排,菲力牛排
香茅,香蜂草
海鹽,法國鹽之花
碳酸氫銨,碳酸氫銨
豬梅花肉,梅頭肉
熱帶風情茶,熱帶風情茶
荔枝,荔枝果肉
蛋黃醬,荷蘭蛋黃醬
乳香醬,普羅旺斯乳香醬
五寶果,五寶果
黃色色素,黃色色素
多利魚,多利魚
米,大賀米
義大利麵,Angel Hair
洋菇,好市多波特菇
花椰菜,綠花椰
花椰菜,椰菜絲
立康養生固骨寶膠塊,立康養生固骨寶膠塊
蝦頭,蝦頭
明太子,明太子
湯種,米湯種
竹輪,大竹輪
薑,薑母
假人蔘,人參菜
麥芽精,麥芽酵素
五爪金英,厝邊草藥
柿霜,霜柿
茼蒿,鮮採山茼蒿
鹽麴,鹽麴
豬梅花肉,梅花豬肉
猴頭菇,刺蝟菌
羊肉羹,羊肉羹
雪裡紅,雪里紅
榛果,可可榛果
油蔥,客家油蔥
五花豬肉片,豬五花肉片
彩米,五彩米
甜椒,紅色彩椒
黑色色素,黑色色素
過溝菜,山貓
雞油,雞油
落葵,蟳公菜
橙酒,橙酒
蔥,青?
米香,炒米香
烤鴨醬,特製烤鴨醬
水,生飲水
豌豆芽,豌豆芽
豬大腸頭,直腸
冰塊,碎冰
慈菇,蔬卵
乾蔥頭,乾蔥頭碎
蔬菜乾,蔬菜乾
飯,米飯
素肉,素蝦
起司,低脂切片乾酪
植物油,True fresh 椰子油
奶油湯,忌簾湯
鹽膚木,鹽膚木
清毒除痘湯,清毒除痘湯
蟹肉,蟹肉丁
素脆鱔,素脆鱔
七葉膽,甘蔓茶
蟹肉,蟹肉丸
醬油露,甘露之味
豆豉,黑蔭鼓
筑前煮,筑前煮
青星九刺鮨,青星九刺鮨
壽喜燒,壽喜燒鍋中材料
叻沙葉,叻沙葉
四神湯,四神湯料
杏桃,杏實
銀粉,銀粉
蒜,大蒜碎
鮑魚菇,台灣平菇
枸杞,苟己
肉角,肉角
甘梅粉,甘梅粉
叻沙醬,叻沙炒醬
蝦米,小蝦米
芒果汁,芒果汁
瓠瓜,醃瓢瓜
