食材名稱,同義詞
切達起司,車打奶酪
牛後腿肉,澳冷藏牛腿排
酸黃瓜,酸瓜
蔬菜,新鮮蔬菜
甘蔗汁,甘蔗汁
鵝血,鵝血
軟絲仔?,軟施
草仔粿,鼠麴粿
鵝胸肉,去骨帶皮鵝胸
苦茶油,冷壓 苦茶油
海鮮羹,海鮮羹
棒棒腿,棒棒小雞腿
白蘭地,干邑白蘭地
橘子,年柑
鮑片,螺片
燕窩,品御方 - 品燕盞
沙薑,三奈粉
瑞士捲,基本原味瑞士捲
冰塊,冰塊
鼠麴,鼠麴草
燒酒雞藥包,燒酒雞調味包
金萱,歐蕾
蝦餃,翡翠鮮蝦餃
紫羅蘭粉,歐洲紫羅蘭粉
塔克皮,塔克皮
牡蠣,生蚵
杏鮑菇,杏鮑菇
豬耳朵,豬頭皮
醬油,龜甲萬昆布料亭和露
千層香酥薄餅,千層香酥薄餅
棒棒腿,棒棒雞腿
綠竹筍,綠竹荀
帕馬森起司,Parmesancheese
辣椒,唐辛子
土司,冷藏冰種
水餃,水餃
植物油,花生油
海藻,海藻
甘蔗渣,碎甘蔗渣
冰糖,冰塘
燒雞醬,燒雞醬
豇豆,豆角
百合,百合
可麗餅,可麗餅
牛肉丸子,IKEA牛肉丸子
蕎麥,三角麥
印度香料,印度香料
蟳,紅蟳
牛奶,牛奶
紅蟹,紅蟹
辣椒粉,一味粉
卡門貝爾起司,卡門貝爾起司
冰糖,冰糖
虎豆,虎仔豆
香腸,一口腸
鯖魚,靖魚
桔香料,桔香料
雞蛋,元氣御選白殼蛋
本菇,韓國本菇
滷汁,滷汁
龍葵,黑子菜
湯筍,湯筍
洋蔥,蔥頭
蛋皮,厚蛋皮
糖果,彩色糖果珠
孜然,孜然粉
酵母粉,效母粉
香草,香草葉
慕斯粉,克寧姆粉
豬耳朵,豬頭肉
糯米,圓糯米
青衣魚,舒氏豬齒魚
花魚,花魚
李子,黃肉李
醃蔥頭,醃蔥頭碎
乳香醬,乳香醬
旭蟹,旭蟹
普洱茶,普洱茶
蜜桃汁,蜜桃罐頭汁
蔥,青蔥
苦苣,菊苣
黃花蜜菜,黃花蜜草
蔬菜,青蔬
青椒,綠椒丁
豆花,豆花
肝連肉,肝連肉
香料,綜合醃漬香料
小麥,粗麥粒Bulgur
土司邊,土司邊
法式香料,法式綜合香料
綠豆芽,豆芽
能量飲料,能量飲料
月桂葉,月桂片
剉冰,細剉冰
酸豆,羅望果子
真姬菇,玉蕈
韓國辣炒醬,韓國辣炒醬
蔘鬚,人參鬚
和風醬,市售日式和風醬
醃料包,醃料包
京醬牛肉炒醬,京醬牛肉炒醬
鴿蛋,鴿蛋
諾鈣C發泡錠,諾鈣C發泡錠
金茸,金茸菇
藥燉包,藥膳藥包
牛奶,瑞穗鮮乳
菊花,菊花
四物藥包,純四物
豬尾巴,豬尾椎
甜菊,台灣甜菊
椰子汁,椰子汁
和風醬,日式和風醬
午餐肉,午餐肉
塔塔粉,塔塔粉
蔬菜麵,紅蘿蔔麵
高筋麵粉,高粉
米,野米
臻果巧可力醬,Nutella
豬腳,豬手
叉燒肉,叉燒
澤瀉,澤瀉
綠豆芽,巧芽
虱目魚,虱目魚
香茅,香茅
香茹,香茹
川牛膝,川牛膝
百頁豆腐,厚百頁
黃色色素,黃色5號色素
全雞,Whole chicken
水,水
便當,串燒便當
茄子,紫茄
果茸,紅桑莓茸
高梁,高粱
啤酒,黑啤酒
桑葚,桑葚果粒
玉竹,尾參
餅乾派殼,餅乾派殼
紅棗,三棗
芥蘭菜,格蘭菜
奶混合奶油,Half and Half
素豆腸,素豆腸
柳橙,橙子
龍眼乾,桂圓乾碎
樹薯,樹薯
黑鹽,黑鹽
排骨飯,懷舊風滷排骨飯
醃醬,醃醬
餅乾,全麥酥餅乾grahamcracker
白汁粉,白汁粉
紅龜粿,紅龜粿
牛腱,牛腱肉
鮮雞晶,鮮雞晶
寧波年糕,寧波年糕
貝芽菜,貝芽菜
堅果,萬歲牌珍味雙果
馬麥醬,Marmite
九孔,有名堂貴妃鮑片
燕麥,燕麥片
蘇打餅,蘇打餅
豬骨,腿骨
大白菜,結球白菜
辣椒粉,韓式辣椒粉
雞翅,雞中翅
胡麻醬,日本胡麻醬
海珊瑚,珊瑚草
全雞,全雞
舞菇,舞菇
筍瓜,筍瓜
海蟹,海蟹
酒,梅酒
起司,起絲
攤餅,攤餅
雞翅,雞中翼
鮮味炒手,調味料-鮮味炒手
麵,麵
苜蓿芽,苜素芽
蔬菜,7-11的三色果物
豬里肌肉排,帶骨里肌排
海珊瑚,麒麟菜
舞茸,灰樹花
黃色色素,黃食用色膏
塔皮,現成小派塔
鴕鳥頸肉,鴕鳥頸肉
紅扁豆,紅肉豆
青星九刺鮨,青星九棘鱸
起司,軟起司
福州丸,福州丸
蔬菜,川燙蔬菜
黑醬,韓式黑醬包
芒果乾,芒果乾
胡椒粉,胡椒粒
含片,含片
預拌粉,黑糖糕預拌粉
松阪豬,菘板肉
艾草,艾草乾
紅茶,伯爵茶包
菜豆,蔬菜豆
芒果,芒果肉
湯圓,桂冠紅趜芝麻湯圓
麥芽糖,精緻麥芽
胡椒粉,黑胡楜粉
筊白筍,菰蔣
紅糯米,有機紅糯米
梅菜,霉乾菜
牛菲力,牛里脊肉
洋蔥,洋蔥片
紅醬,泰式紅醬
波士頓萵苣,波士頓萵苣
紫洋蔥,紫蔥頭
奶酪,酸奶酪
太白粉,片粟粉
香鬆,飯島香鬆
月桂葉,月桂葉
薏仁,意仁
翻車魚,頭魚
蜜餞,李鹹
加州李,加州紅李
米粉,米粉
金銀花,金銀花
砂糖,糖
穀片,Special K香脆麥米片
藍起司,藍紋乾酪
雞油,雞腹油
淡小蘿蔔水泡菜,淡小蘿蔔水泡菜
蟹腳,蟹腳
蟹腳,蟹腿
蘿蔔葉,蘿蔔葉
梨子,水梨絲
覆盆子,覆盆子
雞蓉,雞蓉
薑,薑泥
焦糖絲,市售焦糖絲
海帶,海帶
色素,Kool-aid
九孔,孔雀蛤
梅子汁,漬梅汁
蕺菜,蕺
麥茶,麥茶
帕馬森起司,帕米森起司屑
阿摩尼亞,阿摩尼亞
菌菇,茹類
預拌粉,地中海預拌粉
法國麵包,軟法
焗烤起司,比薩cheese
煉乳,鷹牌乳奶
黑糖塊,黑糖塊
花椰菜,西蘭花
關東煮,其他關東煮料
魚肉,魚排
酸黃瓜,碎瓜
酸辣醬,泰式酸辣汁
甘草粉,甘草粉
中東麵餅,口袋餅
豬大腸,豬大腸
鴨,鴨子
A菜,臺灣萵菜
牛肉片,火鍋牛肉片
焦糖醬,焦糖醬
菠菜,波菜梗
腐皮,豆皮
山葵,哇沙咪牙膏形
餅乾粉,魔法餅乾粉
粉漿,粉漿
印度香料,格蘭馬撒拉粉
馬茲拉起司,水牛起司
豬梅花肉,豬梅肉
螺肉,黑螺肉
辣椒醬,辣醬
糖果,香草糖
全麥麵粉,大麥苗粉
冬蟲夏草,虫草菌絲
孟宗竹筍,毛竹
蘋果醬,自製蘋果醬
翅膀豆,翅膀豆
蛋黃果,仙桃
餅乾,鹹餅乾
老土司,老土司
蔥,珠蔥綠
綠竹筍,綠仔筍
棉花糖,香草棉花糖
混合菇,菇神乾燥菇
中筋麵粉,中筋
蔥,蔥丁
二砂糖,二號砂
帕馬森起司,Parmesan乾酪
魚肚,魚肚檔
墨西哥餅皮,塔可餅
大麥仁,洋薏仁
白汁粉,家樂牌高級白汁粉
洋蔥,洋蔥
花生,椒麻花生粒
綠豆芽,豆芽菜
鳳梨,突目1號鳳梨
荸薺,荸齊丁
佛手瓜,隼人瓜
金桔汁,桔汁
堅果,nuts
蟹腳,蟹箝
班蘭葉,班蘭葉
紫米,紫米
土司,全麥土司
綠豆,青豆
八角,大茴粉
豆蔻,玉果
食鹽,粉晶鹽
豬腳,豬角肉
明日葉,咸草
蝦餃,桂冠蝦球
韓國年糕,韓國年糕
貝果,抹茶貝果
溪蝦,溪蝦
蝦仁,新鮮蝦肉
龍眼乾,桂圓乾
甜椒,迷你彩椒
鹹鴨蛋,鹹蛋
麥冬,麥冬
珍菇,珍菇
干貝,鮮干貝
米,五穀米
貝禮詩奶酒,貝里詩奶酒
蘋果派,蘋果派
中式麵餅,中式麵餅
楊桃,洋桃
穀粉,穀物粉
秈米,在來米
黃桃,黃桃
酒釀,江米酒
蔥油醬,紅蔥油醬
鱈魚,雪魚
豬母菜,豬母菜
Q梅,有機Q梅
三色蔬菜,三色蔬菜
起酥片,冷涷起酥片
蕃茄沙司,罐裝蕃茄沙司
蛋餅,蛋餅
瑞士捲,瑞士捲
火鍋料,蛋餃
飯,糙米飯
鹹魚,鹹魚
腐皮,豆衣
椰蓉,椰蓉
海蝦,紅蝦
鴨血,鴨血
豬里肌,裏肌肉
吉利丁　,魚膠
銀魚,銀魚
話梅,酸梅
蛋黃果,蛋黃果
清湯底,清湯底
帝王蟹,帝王蟹
蒔蘿粉,乾蒔羅粉
桃子,冷凍蜜桃
鹽焗雞香料粉,鹽焗雞香料粉
筊白筍,茭筍
雞腿肉,去骨仿仔雞腿
白曝油,白曝油
餅乾,全麥餅乾
八角,8角
辣椒粉,細辣椒粉
龍眼乾,好友牌龍眼乾
A1醬,A1汁
象牙鳳螺,風螺
菜鴨,菜鴨
御飯糰雙手捲,御飯糰雙手捲
肉塊,肉塊
煉乳,煉奶
莎莎醬,沙沙醬
土司,切片土司
龍眼乾,元肉
混合菇,無二菇
英式馬芬,英式馬芬English muffin
酒,茉莉花酒
銀粉,銀珠
酵母粉,速發酵母粉
瑞士捲,椰香瑞士卷
椰奶,椰醬
九層塔,九成塔
生菜沙拉,7-11一日野菜
味噌,味增有顆粒
花椰菜,燙熟青花椰
蔥,切碎細蔥
奶泡,冰奶泡
雞腿肉,腳腿肉
甘露子,土冬蟲草
雞酒,麻油雞
青醬,蘿勒醬
帶魚,白帶魚
焗烤起司,焗烤專用雙色起司
奶油,忌廉
味噌,甜味增
中濃醬,伍斯達醬
熟烤雞胸,熟烤雞胸
小蘇打粉,蘇打粉
香菇,北菇
豬肉塊,豬肉塊
牛肋排,牛勒條
辣椒粉,三椒粉
豆薯,沙葛
白蘿蔔,白蘿葡
桂花醬,桂花醬
葡萄乾,青堤子
五香包,五香包
落葵,胡臙脂
冬瓜,冬瓜
醬瓜,醬瓜
胡椒粉,白楜椒
羊肉片,羊肉片
蒜苗,蒜絲
鹹肉,家鄉肉
越式湯頭,越式湯頭
海苔,海苔絲
羅勒子,Chia seeds
芋頭,香芋
鹹鴨蛋,鹹蛋黃
打拋葉,打拋
飯團,小飯糰
紅糯米,紅糯米
橘子,茂谷柑
油,煎餅用油
麝香草,百里香
辣椒,魔鬼椒
紅目鰱,新合發紅目鰱
碳酸氫銨,銨粉
冬粉,粗粉
奶油,butter
明太子,辣味明太子
蒲公英,蒲公英
黃瓜,黃瓜
筍乾,扁筍
多利魚,馬頭鯛
白表,白表
李子,紅肉李
魚頭,魚頭
大麥,什錦果麥
龍蝦,龍蝦
日本油菜,7-11鮮採小松葉
食茱萸,椿葉花椒
蠔油,蠔油
消化餅乾,原味消化餅
甘露子,地牯牛
豆干,小豆干
甘露子,寶塔菜
蛋塔液,蛋塔液
切達起司,高達起司
麻吉燒,麻吉燒
雞蛋,石安牧場動福蛋
金針菇,金菇菜
芥末,芥末醬
油揚,炸豆腐薄片
蝦殼,新鮮蝦殼
山核桃,山核桃
鰤魚,油甘魚
肯瓊粉,紐奧良綜合香料粉
木瓜,蓬生果
蘿蔓萵苣,光合農場安心菜-省產蘿美
香茅,檸檬草
醬油,龜甲萬
鵝胸肉,鵝胸肉
麥門冬,麥門冬
醃紅梅肉,醃紅梅肉
肥膘,肥肉
醬油膏,香油膏
土耳其餅,土耳其餅
法國麵包,法國長棍
咖哩,祇園味幸的黃金一味咖喱塊
板腱肉,板腱肉
紅糟,紅麴
黑醬,韓國春醬
沙茶醬,牛頭牌麻辣茶醬
吉利丁　,動物膠
咖喱醬,綠咖喱醬
話梅,甜橘梅
落葵,牛皮凍
滷蛋,滷蛋
雞肉絲,雞絲
素肉,有機素碎肉
車前草,五更草
鵝掌,白鵝掌
腰尺,腰尺
鵝肉,鵝肉
藜麥,紅藜
鮮味炒手,鮮味抄手
紅扁豆,肉豆
鵝肝,鵝肝
蘆筍,露筍
高湯,蔬菜高湯
雞醬,泰式辣味雞醬
素雞,素雞
肉餡,肉餡
泡菜,韓式泡菜
香精,雲呢拿香精
人蔘,人篸片
傳統英國茶,英國茶
荸薺,鳧茈
杏鮑菇,杏鮑姑
鴨舌頭,鴨舌頭
油,OIL
奧勒岡,奧力岡香料
綠豆,綠豆子
紅醬,茄汁淋醬
青嘴魚,星斑裸頰鯛
麥芽,麥芽
食茱萸,食茱萸
鱈場蟹,鱈場蟹
辣根,粉山葵
蒜,蒜切末
麻竹筍,麻筍
杏鮑菇,杏包菇丁
脆瓜,醬脆瓜
蛋黃粉,蛋黃粉
香糟露,香糟露
酵素,摩奇軟
大骨湯,總舖獅金黃大骨湯包
優酪乳,酸乳酪
食茱萸,仁刺蔥
銀耳,銀耳
箭竹筍,孤竹仔筍
檸檬皮,檸檬皮末
綠豆湯,綠豆湯粒
櫻桃,楔荊桃
玫瑰花,乾燥玫瑰花
吻仔魚,吻仔魚
扁食皮,扁食皮
大白菜,山東白菜
糖果,食用聖誕造型糖果
葡萄乾,葡萄乾
燒雞醬,泰式燒雞醬
蛋黃醬,蛋黃醬
醬油膏,蠔油膏
板藍根,大青根
西班牙辣腸,辣肉腸
金線蓮,金線蓮
紫高麗菜,紅包心菜
鴨腿,鴨脾
紅棗,泡發紅棗
巧克力粉,無糖朱古力粉
義大利麵,寬麵
青草茶,青草茶
青椒,青椒片
鬆餅粉,全麥鬆餅粉
荷蘭豆,荷蘭豆
莓果粉,莓果粉
瑞可達起司,Ricotta
甜菜,根甜菜
Oreo餅乾,小的歐利歐餅乾
香蘭汁,香蘭汁
九層塔,九重塔
嘴邊肉,嘴邊肉
豆輪,豆輪
菜薊,洋薊
法國麵包,法式長棍麵包
甘露子,地蠶
蔬菜,疏果
彩米,黃色彩米
紅糯米,紅米
孟宗竹筍,貓頭竹
秋葵,秋癸
九孔,淡菜
肉餡,基本肉餡
全雞,公雞
麻油,麻油
炒蛋,抄蛋
起司,吉士片
大麻籽,麻仁
花生,炸熟花生
紫高麗菜,赤球甘藍
豬絞肉,豬餃肉
馬麥醬,馬麥醬
穀類,早餐谷類食物
七葉膽,南方人參
梅子汁,梅汁酸
豬五花肉,豬五花
蛋捲糊,蛋捲糊
康寶濃湯,濃湯包
奶球,奶油球
豆干,豆干
起司,片裝芝士
蛋炒飯,冷凍蛋炒飯
鯊魚,沙魚
脆瓜,脆瓜片
葛鬱金粉,葛玉金粉
海蝦,海蝦
乳瑪琳,瑪琪淋
果乾,纖果
雪花菇,雪花菇
紫洋蔥,紫胡蔥
吻仔魚,勿仔魚
肉汁,濃肉汁
辣椒醬,罐頭麻辣醬
肉餡,調味肉餡
洋蔥,泮蔥
芡水,太白水勾芡
吉利T,植物膠
燉排骨,燉排骨
柚子茶,柚子茶
塔皮,小蛋塔皮
稜角絲瓜,稜角絲瓜
麻薏,麻芛
吉利丁　,吉利粉
沙薑,山柰
白剌蝦,白剌蝦
小麥啤酒,小麥啤酒
麥芽糖,透明麥芽
橄欖油,橄爛油
蔬菜,蔬果
冬粉,粉條
甘露子,地鈕
羽衣甘藍,羽衣甘藍菜
松阪豬,松板豬
稜角絲瓜,十角絲瓜
山竹,山竹
全雞,肉雞
山竹,山竺
糖鹽,糖鹽
牛舌,牛舌
色素,色膏
子排,豬腩排
荸薺,馬蹄肉
高麗菜,高梨菜絲
植物油,COCO FRESCO 椰子油
藤壺,藤壺
馬茲拉起司,Mozzarella 起司
香精,雲尼拿油
餅乾,餅乾底
桔醬,桔子醬
莧菜,莕菜
粑粑絲醬,粑粑絲醬
起司腸,起司腸
龍葵,天茄子
香筍,脆筍
南瓜籽,南瓜籽
啤酒,啤酒
鍋餅,鍋餅
全雞,雞
冬粉,綠豆粉絲
大麥,大麥
裝飾糖粒,糖霜
切達起司,Cheddar cheese
苦茶油,茶仔油
棒棒腿,棒棒腿
素肉,素羊肉
甜燒餅,甜燒餅
豆瓣醬,辣豆拌醬
大骨湯,大骨濃湯
麥芽,麥芽糖
雞湯,雞湯
節瓜,櫛瓜片
全雞,仿土母雞
水蓮菜,水皮蓮
玫瑰花,乾玫瑰花
豬油,板絞油
火腿,活腿
照燒親子滑蛋,照燒親子滑蛋
藜麥,印地安麥
土司,白土司
腰子,腰子
決明子,決明子
橙橘,橙橘
茶泡飯料,茶泡飯料
海燕窩,海石花
葵瓜子,葵花子
檸檬汁,檸檬原汁
雞肉,肉雞切塊
肝連肉,肝肉
黑豆芽,黑豆芽
鷹嘴豆,埃及豆
法國麵粉,法國麵粉
伍斯特醬,辣醬油
廣式烤鴨,廣式烤鴨
起司,自製起司
牛蒡,東洋參
柳葉魚,多春魚
黑豆瓣醬,黑豆瓣醬
雞蛋,蛋蛋
烤肉醬,OK醬
燉排骨,柿乾燉排骨
粉圓,珍珠粉圓
?菜,韭菜葉
小魚乾,小魚乾
豬母菜,馬齒菜
綠金針,青金針花
決明子,馬蹄決明
金門蟹,金門蟹
牛腩醬,義大利式牛腩醬
蘆筍,白蘆筍
雞米花,雞球
雞醬,泰式雞醬
芋頭,里芋
金針花,金針花
柴魚粉,木魚粉
胡蘿蔔,胡蘿波
寬冬粉,寬粉
椒鹽,特製椒鹽
羊起司,羊乳酪
黃耆,黃薺
草莓,新鮮草苺
巴西里,巴西力
雞蛋麵,雞蛋麵
車前草,車前草
紅麴米,紅曲米
素蠔油,素蠔油
滷汁,滷肉汁
班蘭葉,新鮮班蘭葉
紅罌栗泥,紅罌栗泥
蝦湯,蝦湯
布蕾粉,布蕾粉
普羅旺斯燉菜,Ratatouille
南瓜,倭瓜
蹄膀,豬前腿蹄螃
米,香米
雞蛋殼,雞蛋殼
牡蠣,鮮蚵
丁骨牛排,紐約克牛排
菜薊,朝鮮薊
小番茄,小番球
小麥啤酒,Beer
柳橙汁,柳汀汁
紅蔥頭,小紅蔥
阿摩尼亞,臭粉
豌豆仁,荷蘭豆仁
葡萄,紫葡萄
香腸,香 腸
米椒,米椒
毛蟹,毛蟹
佛跳牆,佛跳牆
雞排,碳烤雞排
紫米,黑米
瘦肉丁,瘦肉丁
薯條,Jagabee
Q梅,亮農場有機Q梅
蘆筍,筍草
炸豆腐,酥炸豆腐
墨魚汁,新鮮墨魚汁
薺菜,地菜
果凍液,紅果果凍液
馬卡龍殼,馬卡龍殼
火雞肉,火雞胸肉
柳橙,橙類
起司,硬乾酪
美乃滋,美乃茲
胛心排,上排
薑,嫩薑絲
膏蟹,蝤蛑
麵包,歐式麵包
炸雞,小雞塊
豬腳,急凍咸豬手
皮絲,皮絲
核桃,胡桃
植物油,茶籽油
柴魚粉,柴魚片
辣椒醬,巿售麻辣醬
大白菜,卷心白菜
蔥油,紅蔥油
酸黃瓜,酸黃瓜
牛奶,安佳鮮乳脂
川牛膝,甜牛膝
大芥菜,大葉芥菜
燕尾斑,燕尾斑
蛋鬆,蛋酥
烤牛肉片,切片烤牛肉
滷元蹄,滷好的元蹄
黃鰭鯛,黃鰭棘鯛
山芹菜,中芹
甜菜,紅菜頭
筍,油筍罐頭
蠶豆酥,蠶豆酥
鷹嘴豆,雞豆罐頭
庫司庫司,couscous
Oreo餅乾,Oreo
諾鈣C發泡錠,諾鈣C發泡鈣
魚高湯,魚高湯
西洋芹菜,西菜末
臘腸,臘腸
披薩,皮薩
螃蟹,大沙母
黑豆,黑大豆
西葫蘆,西葫蘆
豌豆芽,豌豆嬰
蔥油,小磨坊蔥油
鴨脖子,鴨脖子
冬蟲夏草,蟲草菌絲
清湯底,嘉浴利清湯
包心芥菜,包心刈菜
馬茲拉起司,馬蘇里拉芝士碎
蓮子,蓮子
黑醬,韓國炸醬
雞胸肉,清胸肉
芥末,奶香芥未醬
混合菇,綜合菇
香蒜粉,味好美蒜香粉
蘆筍,門冬薯
蝦,特選大蝦
高湯,大骨高湯
炸雞,冷凍炸雞塊
牛肉片,牛肉片
柚子,文旦
胡蘿蔔,紅羅蔔碎
鮮奶油,植鮮
打拋醬,泰國打拋醬
芹菜,芹菜段
天婦羅,天婦羅
黃鰭鯛,赤翅
櫻花,櫻花泥
馬茲拉起司,瑪茲拉起司
水,涼開水
鬆糕,鬆糕
脆藻,脆藻
苜宿芽,苜宿芽
大頭菜,球莖甘藍
黑輪,黑輪卷
紫羅蘭粉,紫羅蘭粉
梅子粉,白梅粉
香菜,香菜梗段
水蓮菜,水蓮
八寶粥,八寶燕麥粥
肉排,手工肉排
廣東萵苣,皺萵仔菜
馬頭魚,馬頭魚
薏仁,大薏仁
豆花粉,豆花粉
甜珠草,甜珠草
封仔雞,風仔雞
千層香酥薄餅,御餅
蓮霧,水蓊
義大利醬,義大利麵醬
牛奶,淡奶
蕺菜,臭臊草
廣東萵苣,縮葉萵苣
麻糬粉,超軟麻薯粉
帕馬森起司,帕瑪森 cheese
辣椒,辣椒丁
炸雞腿,去骨炸雞腿
酵素,酵素
芋粿,芋粿巧
海鮮,普羅旺斯海鮮
假人蔘,參仔草
檸檬茶,檸檬紅茶
奶油起司,creac cheese
蝦泥,蝦末
節瓜花,節瓜花
椰糖,椰糖
椰糖,小椰糖
刺柏,刺柏
魚露,泰國魚露
板藍根,?靛根
蔘鬚,參鬍
黃精,黃精
義大利玉米粥,波倫塔
檸檬汁,Lemon汁
蘿蔔花,紅羅蔔花
辣椒醬,現成麻辣醬罐頭
蔘鬚,參鬚
葡萄乾,蔔萄乾
鰻魚,白鰻
三杯醬,三杯醬
柳橙,黃果
肉桂粉,油桂粉
紅醬,Classico義式紅醬
香蕉葉,香蕉葉
肉蓯蓉,肉從蓉
醬油膏,壺底油膏
﻿牛肉,牛半筋半肉
穀片,早餐穀麥
蜜漬橙皮丁,蜜漬橘皮
沙拉堡,沙拉堡
瑪斯卡彭起司,Mascarpone
匈牙利辣腸,匈牙利辣腸
糖漿,糖漿
鴨肉,鴨肉塊
土司,白吐司
茅根,茅根
糖果,糖果珠
泡芙,脆皮泡芙
濃縮奶,濃縮奶
帕馬森起司,帕馬森乾酪
番茄,綠番茄
康寶濃湯,康寶雞肉濃湯包
鱈魚,鱈魚
蘋果派餡,蘋果派餡
金眼鯛,紅皮刀魚片
全雞,老雞
蔥蛋,蔥蛋
蘭花干,花乾
葛粉,葛粉條
蜜漬橙皮丁,糖漬橘皮
白刀豆,白刀豆
菜豆,小敏豆
蘋果,青龍蘋果
香樁,香椿
砂糖,白沙糖
水,沸水
四色調味醬,四色調味醬
葵扇白菜,黑葉奶白菜
吉利丁　,魚膠粉
配方奶,配方奶
薤,蕎頭
藍藻粉,藍藻粉
豬蹄筋,豬蹄筋
起司,乾酪片
酸辣湯包,泰式酸辣湯包
?菜,?黃
起司,CHEESE片
太白粉,乾粉
起司粉,鮮奶酪粉
綜合穀麥片,五穀脆片
紅豆,小紅豆
豬肉絲,豬肉絲
香菜,芫茜
烤肉醬,燒肉沾醬
九層塔,9層塔
墨西哥香料,墨西哥粉
A菜,臺灣萵苣
火腿,生火腿
椪餅,椪餅
話梅,甜菊梅
鷹嘴豆,雪連子
瓠瓜,蒲瓜
太白粉,片栗粉
醬油膏,蔭油膏醬
馬茲拉起司,Mozzarella cheese
在來米粉,再來米粉
豬絞肉,豬攪肉
珍珠菇,如意珍珠菇
甜桃,美國甜桃
穀片,早餐彩色穀粒
全雞,鮮雞
洋蔥,洋蔥絲
農村派,農村派
草魚,草魚排
人蔘,切片蔘
義大利香料,義式香料
苜蓿芽,目宿芽
奧勒岡,奧力剛
牛骨,牛大骨
檸檬汁,青檸汁
高麗菜,高麗菜
紫薯粉,紫心甘薯粉
堅果,堅果
伍斯特醬,辣醋醬油
醬油露,淬釀的甘露之味
珍珠菇,小平菇
莓果乾,紅莓乾
石斑魚,石斑魚
奶油,無鹽butter
嘴邊肉,頰肉
桔醬,客家桔醬
馬茲拉起司,莫扎瑞拉起司
銀杏,白果
BB醬,B.B辣醬
石榴汁,石榴汁
麵粉,麵粉
香鬆,味島香鬆-瀨戶風味
牛奶,Milk
三點蟹,三點蟹
帕馬森起司,parmesan cheese
吉利丁　,吉利丁粉
豬排蓋飯,豬排蓋飯
蝦泥,蝦肉泥
榛果,榛果TPT
紅燒湯底,紅燒湯底
明日葉,長壽草
田雞,田雞肉
紫蘇,蘇葉
豬瘦肉,瘦豬肉
澎大海,澎大海
加州李,加州蜜李
茼蒿,茼萵
椰果,椰果
巧克力粉,可可粉末
烏殼綠竹筍,烏殼綠竹筍
高麗菜,冷凍甘藍
咖哩,日式咖裡塊
油,滾油
油粿,九層粿
蔥油,蔥油
雞肉,雞肉塊
酸豆,酸枳
混合生豆,八寶豆
白乳酪,義大利白乾酪
蝦仁乾,開洋
玉米脆片,玉米脆片
梅子,梅子
酸豆,酸果
帶魚,鐮刀魚
芭蕉葉,芭蕉葉
雞翅,小翅
鮮味炒手,鮮味炒手鏗魚風味
β-葡萄糖酸內酯,β-葡萄糖酸內脂
土虱魚,土殺
魷魚乾,吊片
豇豆,長豆切丁
青醬,青醬
秀珍菇,袖珍菇
壺底蔭醬,壺底蔭豆豉
炸粉,炸粉
馬茲拉起司,馬芝拉cheese
青衣魚,西齒
羊起司,羊奶起司
柴魚粉,鰹魚粉
柿子,紅柿對切
食用級竹炭粉,食用級竹炭粉
餅乾粉,現成餅乾粉
洋芋片,洋芋片
迷迭香,迷迭
焗烤起司,焗烤絲
蜜桃茶包,蜜桃茶包
醬瓜,蔭瓜汁
義式花香醬,義式花香醬
筍乾,酸筍干
魚丸,大虱丸
奶球,奶球
蟹黃,蟹黃醬
綿白糖,綿糖
爆香調味醬,爆香調味醬
鮭魚,燻鮭魚
可可豆,可可
薑,嫩薑切片
蜜餞,蜜餞
起司,新鮮起司
甜桃,黃甜桃
蛋白,蛋白
可爾必思,可爾必思液
油,沙拉油
粉蒸肉粉,粉蒸肉粉
龍葵,烏籽菜
松阪豬,松阪豬肉片
玉米醬,玉米醬
板豆腐,木棉豆腐
柳橙汁,柳澄汁
榛果,榛果焦糖碎粒
油,油炸用油
鋁粉,鋁粉
破布子湯汁,破布子湯汁
青龍辣椒,小青椒
落葵,鳳宮菜
松阪豬,霜降豬肉
洛神花,洛神花
蔥,蔥結
豬絞肉,攪肉
香鬆,千島香鬆
豆酥,碎豆酥
白扁豆,觀音豆
巴西里,巴西里碎
花茶包,花仙子萃麗包
肩胛小排,腱子排
甘蔗,紅甘蔗
金針菇,金菇
金銀菜,金菜
蔥,3星蔥
玉竹,女萎
煎餃皮,煎餃皮
廣東萵苣,皺妹菜
素麵包,素面包
豬絞肉,基本絞肉餡
麥粉,硬小麥粉
火龍果,紅火龍果果肉
煎包皮,煎包皮
素高湯,素高湯粉
蛋黃,白殼蛋黃
酵母粉,干酵母
酪漿,酪漿
魚露,魚露
砂糖,細砂
丹蔘,紅根
泡打粉,泡打粉
高梁酒,金門高粱酒38度
雞腿,雞大腿
油魚,油魚
豆瓣醬,豆瓣蒸醬
鮮味炒手,少手
酒,竹炭真露酒
龍眼,龍眼果肉
花椰菜,椰菜中型
秀珍菇,秀珍菇
蛋皮,蛋皮絲
豆腐,豆 腐
起司,即食起司條
鮑魚,黑鮑
花椰菜,青花椰菜
七葉膽,五葉蔘
素蠔油,素豪油
胡蘿蔔,紅蘿菠
香薷,香薷
麻辣鍋底,麻辣鍋
羊肉片,火鍋羊肉片
芥末,哇撒比
魯肉罐頭,魯肉罐頭
櫻花,櫻花
椰粉,細椰粉
烏醋,特濃烏酢
果漿,果漿
辣椒,干辣椒
筍,竹筍
