,RcpNo,Rcp_ingreCal,RcpName
133,I00134,91.2784368,炒白菜玉米
134,I00135,1638.87157606,日式風味焦糖排骨
135,I00136,2140.05191615,鮮蝦沙茶粉絲煲
136,I00137,4.949443009,燻雞洋蔥
137,I00138,869.458534984,蔥爆羊肉
138,I00139,441.782252214,烤香菇蕃薯
139,I00140,0.0,歐式臘腸SALAMI炒花椰菜
140,I00141,437.856986216,乾燒蝦仁
141,I00142,335.755055304,蕃茄炒蛋
142,I00143,2190.11758125,破布子蒸豬肋排
143,I00144,2425.60390156,鹹蛋蒸肉
144,I00145,754.742353381,蔬菜烘蛋
145,I00146,1427.42421413,宜蘭卜肉
146,I00147,839.525171066,香辣番茄牛肉麵
147,I00148,307.9883232,醬泡蛋
148,I00149,187.2875,XO醬娃娃菜
149,I00150,98.2881751584,香菇炒青椒
150,I00151,977.733655726,泰北冬蔭功海鮮清湯
151,I00152,3.584862246,香腸菇菇高麗菜
152,I00153,171.505168057,意大利香草烤鮭魚
153,I00154,784.862018142,雞肉燉馬鈴薯
154,I00155,2142.93653057,蘋果派
155,I00156,369.967634889,糖醋魚
156,I00157,1821.36818486,排骨蛋炒飯
157,I00158,377.20146199,QQ地瓜球
158,I00159,181.45555555,照燒烤雞腿排
159,I00160,558.910078146,椒麻雞腿肉
160,I00161,423.655538738,烤蝦卵馬鈴薯
161,I00162,737.114178984,蜜汁叉燒肉
162,I00163,990.41844509,法式烤杯蛋
163,I00164,943.192627902,三杯中卷
164,I00165,92.35,拜拜三層肉大變身~脆皮燒肉
165,I00166,102.13125,豬事大桔
166,I00167,295.440143209,啤酒嫩雞
167,I00168,419.678748378,吻仔魚炒蛋
168,I00169,4247.79730299,白色乳酪草莓塔&可愛杯裝版
169,I00170,2581.88853201,超下飯滷大肉
170,I00171,81.47526326,櫛瓜蔬菜溫沙拉
171,I00172,202.489102713,馬鈴薯蛋沙拉
172,I00173,2411.95294974,英式啤酒牛肉派佐豌豆泥
173,I00174,1439.2090135,蜜金棗
174,I00175,511.805197736,金桔醬燒鯰魚
175,I00176,87.77499999,香煎雞腿排
176,I00177,106.0,草莓起酥千層派
177,I00178,0.0,酥皮地瓜餅
178,I00179,3135.99220588,戚風卡士達草莓塔
179,I00180,3658.74639159,香蕉巧克力好朋友塔
180,I00181,333.290441986,洋蔥鮭魚Salmon w onion
181,I00182,1330.73348887,香菇肉燥
182,I00183,1409.61121022,青芒果蜜餞
183,I00184,336.059610424,馬鈴薯沙拉
184,I00185,444.911410148,香草烤橘雞排
185,I00186,455.3912424,日式炸豬排
186,I00187,4871.90337367,肉骨茶燜豬肉
187,I00188,843.963934793,泡菜豬肉
188,I00189,66.31649912,鍋煮紅白蘿蔔排骨湯
189,I00190,256.899009396,春天的鮮蝦藜麥溫沙拉
190,I00191,253.109625104,櫻桃巧克力bon bon
191,I00192,992.088701023,雞絲煨麵
192,I00193,638.386190309,嫩煎橙汁里肌
193,I00194,1228.67941972,黑胡椒奶油甜玉米
194,I00195,369.273467976,娃娃菜炒玉米
195,I00196,285.432323232,玫瑰蘋果派
196,I00197,1268.82458497,卡士達草莓塔
197,I00198,730.40120656,什蔬烤蛋
198,I00199,739.306209152,草莓牛奶奶酪
199,I00200,196.583372805,法式焗烤蔬菜馬鈴薯土司
200,I00201,3122.96743631,韓式辣炒雞排
201,I00202,263.866818281,青檸鹽麴松板豬
202,I00203,4529.88406175,草莓塔
203,I00204,910.596881784,肉末蒸嫩蛋
204,I00205,360.523119105,咖哩牛肉海鮮飯
205,I00206,128.39859594,牛肉丸蒸蛋
206,I00207,546.331528259,嫩薑炒肉片
207,I00208,350.721725296,迷迭香紙包烤鮭魚
208,I00209,484.439289233,紫色山藥粉蒸雞胸肉
209,I00210,181.094040278,箭筍炒臘肉
210,I00211,899.2670509,金沙海鮮豆腐煲
211,I00212,1021.94004762,馬鈴薯蛋沙拉
212,I00213,492.125,七味唐辛子松阪豬
213,I00214,1057.5426366,果香排骨
214,I00215,1300.52294266,培根蝦串
215,I00216,1992.01056457,草莓杯子蛋糕
216,I00217,526.841109676,蕃茄雞肉焗烤奶油飯
217,I00218,402.946027804,香煎酒粕鮭魚佐番茄鮮蔬
218,I00219,1806.89211539,開運白菜滷五花
219,I00220,1920.86216592,草莓檸檬乳酪派
220,I00221,471.05044614,酥脆可樂餅
221,I00222,765.2942545,雞塊
222,I00223,520.5839517,酥炸雞柳條
223,I00224,288.590026673,番茄炒蛋
224,I00225,1544.46308569,海鮮鍋燒麵
225,I00226,1871.00439524,藍莓地瓜吐司
226,I00227,1936.48022155,紅燒排骨
227,I00228,568.16107746,馬鈴薯煎餅
228,I00229,264.018338492,黃瓜肉片佐胡麻
229,I00230,250.20864688,宮保芋薯圓
230,I00231,59.6291134588,炸芋絲餅
231,I00232,582.348577461,酸嗆脆薯絲
232,I00233,1267.16961728,超暖胃地瓜薑湯
233,I00234,2170.6735128,豬肉版
234,I00235,661.453875821,地瓜湯圓
235,I00236,2390.54047307,辣炒椰汁肉片
236,I00237,399.982581575,清蒸鮮魚
237,I00238,658.59323304,照燒汁茄子
238,I00239,29.653421115,簡易自製番茄糊
239,I00240,5386.58358013,啤酒燉牛肉
240,I00241,594.119776931,榨菜蛤仔蒸魚
241,I00242,1055.05010102,藍帶豬肉捲
242,I00243,398.747904,日式蛋捲
243,I00244,497.221661785,魚片蘆筍捲
244,I00245,1057.13916958,幸福秒殺燒肉丼
245,I00246,1636.68756097,紅糟肉
246,I00247,276.157584286,冰糖醬鴨
247,I00248,288.13787567,百花鑲豆腐
248,I00249,0.0,港式脆皮燒肉
249,I00250,920.204861555,蕃茄肉醬
250,I00251,459.16337683,草莓馬斯卡邦幕斯杯
251,I00252,244.132352052,紅蘿蔔葉菜脯煎蛋
252,I00253,0.0,雞翅
253,I00254,133.336483144,繽紛水果凍
254,I00255,649.883330766,蘋果優格咖哩雞
255,I00256,2967.35749547,一夜干-鯖魚＆橘子
256,I00257,392.698610129,泰式涼拌炸豆腐
257,I00258,1156.4593383,酥脆蜜糖地瓜
258,I00259,2872.39071903,草莓卡士達派
259,I00260,730.635652728,南瓜濃湯
260,I00261,1558.83243825,紹興醉雞
261,I00262,203.18411328,蕃茄醬
262,I00263,623.09607843,草莓芭芭露亞
263,I00264,786.102617558,皮蛋蒼蠅頭
264,I00265,197.8619048,香烤鹽麴鮭魚佐紫蘇金桔
265,I00266,83.6409515252,香草三文魚扒
266,I00267,3721.11351819,奶油青醬鮮蝦蛤蜊義大利麵
267,I00268,343.203803325,南瓜炊飯
268,I00269,3183.2460955,酒香四溢春到來
269,I00270,205.806922679,麻婆豆腐快速簡易版
270,I00271,120.366120101,奶油蒔蘿菠菜填餡小蘑菇
271,I00272,612.891417666,黑胡椒豬柳
272,I00273,3050.09898444,甜蜜地瓜晶晶球
273,I00274,1198.60877781,蘋果蛋沙拉
274,I00275,1276.39999997,草莓巧克力
275,I00276,1490.98161764,草莓烤布蕾
276,I00277,56.169724492,和風牛蒡
277,I00278,1034.11614131,珍珠丸子
278,I00279,400.734622734,培根起司咖喱蛋卷
279,I00280,1577.07325989,省錢大作戰之宮保皮蛋
280,I00281,639.003666756,泰式魚餅
281,I00282,739.318247212,木鬚炒肉絲
282,I00283,1020.60241145,香椿吻仔魚烘蛋
283,I00284,288.39861111,麻油醬燒雞
284,I00285,32.216765922,香菇蒸肉餅
285,I00286,267.434845605,涼拌四季豆
286,I00287,307.65666672,用鑄鐵鍋煎帶子
287,I00288,0.0,平底鍋煎鮮甜青菜
288,I00289,1519.25900403,肋烤麵包佐蒜茸炒蝦
289,I00290,637.204441618,咖哩雞腿南瓜盅
290,I00291,23.863973398,涼拌菠菜
291,I00292,669.089332463,辣味蒲燒沙丁魚蓋飯
292,I00293,1096.31002152,泰式椰香咖哩粉炒豬肉
293,I00294,1047.38395694,南洋雞肉蓋飯
294,I00295,225.133478576,上湯浸津白
295,I00296,717.796582257,月亮蝦餅
296,I00297,290.697146192,涼拌雙絲
297,I00298,785.38049441,純魚漿手工甜不辣
298,I00299,778.35789249,泰式打拋豬
299,I00300,526.45932297,白蘿蔔豬肉粥
300,I00301,240.363950369,雙享香蕉酥片
301,I00302,1358.53037842,西檸汁脆焗雞翼
302,I00303,2424.76390215,沙朗牛排+紅木桶希哈卡本內紅酒
303,I00304,5768.11315555,圓圓滿滿迎千祥
304,I00305,587.747117391,泡菜翅小腿
305,I00306,3707.1534339,滷蹄膀
306,I00307,52.8,雙色節瓜炒小卷
307,I00308,719.746921034,鮮蔬燴蝦仁
308,I00309,539.662369143,糖醋豆皮捲
309,I00310,1126.75421266,辣豆瓣味噌炒牛肉
310,I00311,614.688863887,草莓卡士達
311,I00312,558.182832874,DYLANAMA香蕉蛋糕
312,I00313,2857.62615133,筍乾控肉
313,I00314,882.15573866,空心菜炒牛肉
314,I00315,531.702662424,麻婆豆腐
315,I00316,1355.90518773,醃漬菜脯
316,I00317,422.000606765,手風琴馬鈴薯
317,I00318,639.203529782,清蒸大黃魚
318,I00319,1845.46764613,奶燉蔬食藜麥
319,I00320,311.239568074,客家小炒
320,I00321,279.561745455,日式照燒雞排
321,I00322,439.06215536,塔香醬燒茄
322,I00323,771.302976263,蒼蠅頭
