V1,V2.x,V2.y
V1,V2,V2
EA0008,鵝油,NA
EA0009,鵝血,NA
EA0010,鵝胗,NA
EA0011,鵝頭,NA
EA0012,鵝肉丸,NA
EA0013,鵝心,NA
EB0001,鴨,2.625882352942
EB0002,菜鴨,NA
EB0003,水鴨,NA
EB0004,鴨肉條,NA
EB0005,鴨肉,2.31076923076846
EB0006,鴨柳,NA
EB0007,鴨胸,0.9
EB0008,鴨頭,NA
EB0009,鴨脖子,NA
EB0010,鴨舌頭,2.841598360655
EB0011,鴨翅膀,1.6397761194025
EB0012,鴨腳,1.76059322034
EB0013,鴨腿,NA
EB0014,鴨腿肉,NA
EB0015,鴨心,1.43
EB0016,鴨肝,1.388424242424
EB0017,鴨腸,1.29
EB0018,鴨胗,1.11976386253422
EB0019,鴨血,0.643112947658364
EB0020,鴨油,8.97
EB0021,鴨骨,NA
EC0001,田雞,1.05555555555556
EC0002,鴿肉,2.93523809523667
EC0003,鴕鳥肉,NA
EC0004,鴕鳥頸肉,NA
EC0006,鴕鳥腩肉,NA
EC0007,鹿肉,1.23333333333333
EC0008,螺肉,NA
EC0009,田螺,1.0769230769225
EC0010,象牙鳳螺,0.9547826086955
EC0011,蠑螺,0.9795454545455
EC0012,香螺,NA
EC0013,珠螺,NA
EC0014,螺,1
EC0015,鮑片,NA
EC0016,乾螺頭,NA
EC0017,蛇肉,0.85
EC0018,鵪鶉,1.36551724138
EC0019,麥皮蟲,NA
EC0020,蟋蟀,NA
EC0021,兔肉,1.14482142857125
EC0022,藤壺,NA
EC0023,火雞肉,3.41448051948045
FA0001,魷魚,1.8233061224489
FA0002,魷魚乾,NA
FA0003,魷魚嘴,NA
FA0004,花枝,1.59722430523711
FA0005,透抽,1.09589041096
FA0006,小卷,7.35607142857167
FA0007,章魚,0.764656084656111
FA0009,海參,1.76900428316323
FA0010,海蜇皮,0.31
FA0011,海蜇頭,0.74
FA0012,海膽,1.48148148148
FA0013,墨魚汁,NA
FB0001,蚌,NA
FB0002,蚌殼,NA
FB0003,蛤,1.39470260796917
FB0004,蛤乾,NA
FB0005,海瓜子,0.490797546012
FB0006,九孔,1.82226258650769
FB0007,竹蟶,NA
FB0008,西施舌,0.72
FB0009,蘆筍貝,NA
FB0010,蘭花蚌,NA
FB0011,北極貝,NA
FB0012,象拔蚌,NA
FB0013,鮑魚,1.75441622626758
FB0014,扇貝,1.824
FB0015,干貝,1.64416666666667
FB0016,蜆,2.94
FB0017,牡蠣,3.243476135515
FB0018,榮螺肉,NA
FC0001,蝦,1.25879317812689
FC0002,車蝦,0.86
FC0003,蝦仁,0.883259023354
FC0004,蝦仁乾,NA
FC0005,蝦丁,NA
FC0006,炸蝦,NA
FC0007,蝦泥,NA
FC0008,蝦肉丁,NA
FC0009,白剌蝦,NA
FC0010,櫻花蝦,1.06666666667
FC0011,蝦母,NA
FC0012,海蝦,1.04300653594667
FC0013,溪蝦,NA
FC0014,蝦蛄,0.941176470588
FC0015,蝦米,2.86470899470857
FC0016,蝦籽,NA
FC0017,蝦皮,NA
FC0018,蝦醬,NA
FC0019,蝦卵,NA
FC0021,蝦漿,NA
FC0022,蝦丸,1.63079365079333
FC0023,蝦殼,NA
FC0024,蝦球,NA
FC0025,蝦頭,NA
FC0026,蝦排,NA
FC0027,蝦皮,1.54333333333333
FC0028,熟蝦,NA
FC0029,紅蟹,NA
FC0030,旭蟹,0.78
FC0031,海蟹,1.18229260535286
FC0032,螃蟹,0.79558139534875
FC0033,蟹肉,0.748333333333333
FC0034,蟹黃,NA
FC0035,蟹腳,NA
FC0036,軟殼蟹,NA
FC0037,大閘蟹,NA
FC0038,毛蟹,0.816326530612
FC0039,帝王蟹,NA
FC0040,鱈場蟹,NA
FC0041,熟地蟹,NA
FC0042,蟳,6.714074074063
FC0043,膏蟹,0.8
FC0044,三點蟹,NA
FC0045,花蟹蚶,NA
FC0046,沙蟹,NA
FC0047,蟹鉗,NA
FC0048,蟹殼,NA
FC0049,金門蟹,NA
FC0050,鱉,1.18
FC0051,龍蝦,1.13221182544143
FD0001,魚肉,11.0966666666667
FD0002,鮭魚,1.65011904761929
FD0003,鯛魚,1.30876373626375
FD0004,鮪魚,1.62185185185167
FD0005,鱈魚,10.3924561403509
FD0006,鱸魚,1.185353901996
FD0007,白魚,NA
FD0008,黃魚,1.05262032085633
FD0009,小黃魚,NA
FD0010,紅魚,NA
FD0011,銀魚,1.139186440678
FD0012,柴魚,NA
FD0013,吳郭魚,1.224655172415
FD0014,鯖魚,18.5870428422152
FD0015,虱目魚,12.37486809358
FD0016,秋刀魚,37.670562770562
FD0017,土魠魚,11.0512962962967
FD0018,白北魚,NA
FD0019,香魚,1.73913043478
FD0020,旗魚,1.26984126984
FD0021,石斑魚,1.20853801169667
FD0022,鰻魚,2.04833333333375
FD0023,海鰻,1.3702238805975
FD0024,河鰻,2.294047619045
FD0025,鯽魚,1.17453164557
FD0026,草魚,1.49017241379333
FD0027,鯧魚,8.43205128205111
FD0028,刺鯧,10.6809523809533
FD0029,鯉魚,1.35269158559571
FD0030,魴魚,1.35
FD0031,鰱魚,1.149612670186
FD0032,帶魚,5.01805867126889
FD0033,吻仔魚,NA
FD0034,丁香魚,2.13337209302333
FD0035,沙丁魚,1.44483699921375
FD0036,沙梭魚,1.45722222222
FD0037,石狗公,1.075
FD0038,金線魚,1.415714285715
FD0039,柳葉魚,1.70909090909
FD0040,多利魚,NA
FD0041,鯷魚,2.00739583333333
FD0042,比目魚,1.21058404558333
FD0043,烏魚,7.525593220339
FD0044,鱔魚,0.89
FD0045,鯊魚,1.40456418081314
FD0046,鰹魚,NA
FD0047,油魚,NA
FD0048,竹莢魚,NA
FD0049,小吉魚,NA
FD0050,赤宗魚,1.15942028986
FD0051,紅尾冬魚,NA
FD0052,紅甘魚,NA
FD0053,鰤魚,1.665
FD0054,馬頭魚,1.15188034188
FD0055,中華鱘,1.37666666666667
FD0056,鱘龍魚,NA
FD0057,四破魚,NA
FD0058,目孔魚,NA
FD0060,黃鰭鯛,1.05263157895
FD0061,水針魚,NA
FD0062,象魚,NA
FD0063,土虱魚,1.1845454545455
FD0064,黑喉,NA
FD0065,紅鱸,1.17
FD0066,翻車魚,NA
FD0067,皮刀魚,NA
FD0068,鱒魚,1.29642857142833
FD0069,多利魚,NA
FD0070,冰魚,NA
FD0071,黑加網,NA
