V1,V2.y
V1,V2
FC0030,0.78
FC0031,1.18229260535286
FC0032,0.79558139534875
FC0033,0.748333333333333
FC0034,NA
FC0035,NA
FC0036,NA
FC0037,NA
FC0038,0.816326530612
FC0039,NA
FC0040,NA
FC0041,NA
FC0042,6.714074074063
FC0043,0.8
FC0044,NA
FC0045,NA
FC0046,NA
FC0047,NA
FC0048,NA
FC0049,NA
FC0050,1.18
FC0051,1.13221182544143
FD0001,11.0966666666667
FD0002,1.65011904761929
FD0003,1.30876373626375
FD0004,1.62185185185167
FD0005,10.3924561403509
FD0006,1.185353901996
FD0007,NA
FD0008,1.05262032085633
FD0009,NA
FD0010,NA
FD0011,1.139186440678
FD0012,NA
FD0013,1.224655172415
FD0014,18.5870428422152
FD0015,12.37486809358
FD0016,37.670562770562
FD0017,11.0512962962967
FD0018,NA
FD0019,1.73913043478
FD0020,1.26984126984
FD0021,1.20853801169667
FD0022,2.04833333333375
FD0023,1.3702238805975
FD0024,2.294047619045
FD0025,1.17453164557
FD0026,1.49017241379333
FD0027,8.43205128205111
FD0028,10.6809523809533
FD0029,1.35269158559571
FD0030,1.35
FD0031,1.149612670186
FD0032,5.01805867126889
FD0033,NA
FD0034,2.13337209302333
FD0035,1.44483699921375
FD0036,1.45722222222
FD0037,1.075
FD0038,1.415714285715
FD0039,1.70909090909
FD0040,NA
FD0041,2.00739583333333
FD0042,1.21058404558333
FD0043,7.525593220339
FD0044,0.89
FD0045,1.40456418081314
FD0046,NA
FD0047,NA
FD0048,NA
FD0049,NA
FD0050,1.15942028986
FD0051,NA
FD0052,NA
FD0053,1.665
FD0054,1.15188034188
FD0055,1.37666666666667
FD0056,NA
FD0057,NA
FD0058,NA
FD0060,1.05263157895
FD0061,NA
FD0062,NA
FD0063,1.1845454545455
FD0064,NA
FD0065,1.17
FD0066,NA
FD0067,NA
FD0068,1.29642857142833
FD0069,NA
FD0070,NA
FD0071,NA
FD0072,1.17647058824
FD0073,NA
FD0074,NA
FD0075,1.18
FD0076,NA
FD0077,NA
FD0079,NA
FD0080,NA
FD0081,NA
FD0082,NA
FD0083,NA
FD0084,2.79962962963
FD0085,NA
FD0086,NA
FD0087,NA
FD0088,NA
FD0089,NA
FD0090,NA
FD0091,NA
FD0092,NA
FD0093,NA
FD0094,1.09978021978025
FD0095,NA
FD0096,NA
FD0097,NA
FD0098,NA
FD0099,NA
FD0100,NA
FD0101,1.04
FD0102,NA
FD0103,NA
FD0104,0.963855421687
FD0105,1.3453174603175
FD0106,2.58064516129
FD0107,1.26445054945
FE0001,NA
FE0002,NA
FE0003,NA
FE0004,NA
FE0005,NA
FE0006,NA
FE0007,NA
FE0008,NA
FE0009,1.735
FE0010,NA
FE0011,NA
FE0012,1.20888888889
FE0013,NA
FE0014,NA
FE0015,2.32
FE0016,NA
FE0017,NA
FF0001,0.9115217391305
FF0002,0.48
FF0003,NA
FF0004,NA
FF0005,14.7873809523817
FF0006,4.425
FF0007,9.88722222222233
FF0008,NA
FF0009,3
FF0010,27.7525
FF0011,0.76
FF0012,NA
FF0013,NA
FF0014,1.141666666665
FF0015,1.36
FF0016,1.74545454545
FF0017,NA
FF0018,NA
FF0019,3.67818181818
FF0020,0.539419087137
FF0021,3.630263157895
FF0022,NA
FF0023,9.125
FF0024,NA
FF0025,5.8
FF0026,NA
FF0027,NA
FF0028,2.28
FF0029,3.1904885057475
FF0030,NA
FF0031,NA
FF0032,NA
GA0001,1.53667698303625
GA0002,0.146168179646385
GA0003,NA
GA0004,0.256594331872938
GA0005,0.18
GA0006,NA
GA0007,NA
GA0009,0.596558749630583
GA0010,NA
GA0012,0.35
GA0013,NA
GA0014,0.212285958904125
GA0015,0.186819923371667
GA0016,0.182777777777833
GA0017,0.132
GA0018,0.18
GA0019,0.32
GA0020,0.20375
GA0021,1.64497354497333
GA0022,0.163333333333333
GA0023,NA
GA0024,0.13
GA0025,0.765686918445414
GA0026,NA
GA0027,0.548827694181778
GA0028,NA
GA0029,NA
GA0030,0.646424751718857
GA0031,NA
GA0032,NA
GA0034,0.848159845924333
GA0035,NA
GA0036,NA
GA0037,NA
GB0001,NA
GB0002,1.08796312815937
GB0003,2.22983540590013
GB0004,0.973361327316567
GB0005,NA
GB0006,0.4622086720865
GB0007,0.718449464177625
GB0008,0.397497528039111
GB0009,NA
GB0010,1.36852362292557
GB0011,NA
GB0012,1.43733729527838
GB0013,2.34870802959243
GB0014,5.18737596362475
GB0015,1.34066939520433
GB0016,0.318466897129625
GB0017,0.923948153475867
GB0018,1.67250604706058
GB0019,NA
GB0020,NA
GB0021,0.555
GB0022,0.962189775371143
GB0023,5.5345512820595
GB0024,1.34293209876542
GB0025,1.29420925228619
GB0026,0.485808080808
GB0027,1.42278317856645
GB0028,1.64798603877718
GB0029,NA
GB0030,0.8230467883475
GB0031,0.520533135100636
GB0032,3.14506715507078
GB0033,1.76032589661962
GB0034,1.62
GB0035,3.03976587212715
GB0036,1.12411744094395
GB0037,0.692222222222222
GB0038,0.46
GB0039,0.978570482247
GB0040,1.74792890459944
GB0041,0.459480519480571
GB0042,0.326182375129778
GB0043,NA
GB0044,NA
GB0045,0.3
GB0046,0.493076923076667
GB0047,NA
GB0048,0.43019949066225
GB0049,2.1032631578948
GB0050,NA
GB0051,1.5070516717325
GB0052,0.885
GB0053,0.574000981836
GB0054,0.720632183908
GB0055,NA
GB0056,0.43
GB0057,2.5219099535635
GB0058,0.49522803291825
GB0059,0.33
GB0060,2.19
GB0061,0.54
GB0062,0.415
GB0063,NA
GB0064,0.499666666666667
GB0065,0.892727272727273
GB0066,0.638
GB0067,NA
GB0068,NA
GB0069,0.562222222222222
GB0070,NA
GB0071,NA
GB0072,0.984285714285714
GB0073,NA
GB0074,NA
GB0075,0.485
GC0001,0.774459401512032
GC0002,NA
GC0003,NA
GC0004,NA
GC0005,NA
GC0006,NA
GC0007,1.3700765306125
GC0008,NA
GC0009,0.31
GC0010,NA
GC0011,NA
GC0012,0.24
GC0013,0.215
GC0014,NA
GC0015,NA
GC0016,0.463
GD0001,0.24
GD0002,NA
GD0003,NA
GD0004,NA
GD0005,1.164
GD0007,1.21610368897427
GD0008,0.213333333333333
GD0009,0.195
GD0010,0.25
GD0011,NA
GD0012,NA
GD0013,0.25
GD0014,0.13
GD0015,0.265780960755312
GD0016,0.225
GD0017,0.209352428393545
GD0018,0.667030651341
GD0019,0.18
GD0020,0.09
GD0021,NA
GD0022,0.190198463508364
GD0023,0.25
GD0024,0.14
GD0025,NA
GD0026,0.2376071314257
GD0027,0.216165413533857
GD0028,0.34
GD0029,0.25
GD0030,0.22
GD0031,1.27
GD0032,0.5056842105264
GD0033,NA
GD0034,NA
GD0035,NA
GD0036,NA
GD0037,NA
GD0038,NA
GD0039,NA
GD0040,NA
GD0041,NA
GD0042,NA
GD0043,NA
GD0044,0.203333333333333
GD0045,0.325
GD0046,0.171666666666667
GD0047,NA
GD0048,0.2
GD0049,0.12
GD0050,0.14
GD0051,NA
GD0052,NA
GD0053,0.16395161290325
GD0054,NA
GD0055,0.168027079303636
GD0056,NA
GD0057,NA
GD0058,NA
GD0059,NA
GD0060,0.235
GD0061,NA
GD0062,0.283333333333333
GD0063,0.176896774272875
GD0064,0.628270257294773
GD0065,1.2
GD0066,0.2433215211755
GD0067,0.222001961393412
GD0068,0.23
GD0069,0.28
GD0070,0.22
GD0071,0.278561076604571
GD0072,0.28
GD0073,NA
GD0074,0.312857142857143
GD0075,0.202222222222333
GD0076,0.2175240027425
GD0077,0.153342366757
GD0078,0.11
GD0079,NA
GD0080,NA
GD0081,NA
GD0082,0.32
GD0083,0.349321533923333
GD0085,0.38
GD0086,NA
GD0087,0.3
GD0088,0.27
GD0089,NA
GD0090,NA
GD0091,0.6
GD0092,0.668858108398862
GD0093,NA
GD0094,NA
GD0095,NA
GD0096,NA
GD0097,NA
GD0098,NA
GD0099,1.09942222222
GD0100,NA
GD0101,0.565102040816333
GD0102,0.785555555555556
GD0103,0.2275
GD0104,NA
GD0105,NA
GD0106,0.18
GD0107,0.704884395264583
GD0108,1.733333333335
GD0109,0.25
GD0110,NA
GD0111,0.22
GD0112,0.25
GD0113,0.22
GD0114,NA
GD0115,0.22
GD0116,1.28333333333333
GD0117,0.223333333333333
GD0118,0.198
GD0119,NA
GD0120,NA
GD0121,0.207744252873542
GD0122,0.31
GD0123,0.25443576693575
GD0124,0.31632322555425
GD0125,0.2
GD0126,0.45
GD0127,0.299318181818214
GE0001,1.27606606854819
GE0002,1.95263433008616
GE0003,1.4337018938508
GE0004,NA
GE0005,NA
GE0006,1.33860470656558
GE0007,0.355
GE0008,2.25648351648357
GE0009,0.347803030303
GE0010,1.632
GE0011,NA
GE0012,NA
GE0013,0.15
GE0014,0.17
GF0001,0.990014619883208
GF0002,0.946935129109162
GF0003,1.04633477633507
GF0004,1.2138656489315
GF0005,0.521666666666667
GF0006,1.00979727857116
GF0007,0.353367712630688
GF0008,0.295438596491333
GF0009,0.491238095238071
GF0010,1.9494430086455
GF0011,0.651677625625778
GF0012,NA
GF0013,0.388851499697136
GF0014,0.158275484677923
GF0015,1.10378013341229
GF0016,1.73333333333333
GF0017,NA
GF0018,0.679858818644231
GF0019,NA
GF0020,0.04
GF0021,0.39
GG0001,NA
GG0002,NA
GG0003,NA
GG0004,NA
GG0005,NA
GG0007,NA
GG0008,NA
GG0009,NA
GG0010,NA
GG0011,NA
GG0012,0.23
GG0013,2.94588235294111
